,0.056.1
0,-0.322
1,-0.078
2,-0.146
3,-0.312
4,-0.151
5,-0.159
6,-0.276
7,0.088
8,-0.071
9,-0.205
10,0.166
11,-0.242
12,-0.122
13,0.171
14,0.095
15,-0.181
16,-0.129
17,-0.002
18,-0.039
19,0.098
20,-0.4
21,0.042
22,0.037
23,-0.149
24,-0.144
25,-0.127
26,-0.337
27,-0.017
28,-0.095
29,-0.183
30,-0.005
31,0.063
32,-0.127
33,-0.012
34,-0.254
35,-0.112
36,0.0
37,-0.178
38,-0.105
39,-0.186
40,-0.396
41,-0.11
42,0.015
43,-0.115
44,-0.154
45,0.007
46,-0.039
47,-0.149
48,-0.227
49,0.017
50,0.051
51,-0.154
52,-0.129
53,0.088
54,-0.217
55,-0.171
56,-0.022
57,-0.054
58,-0.132
59,-0.405
60,0.076
61,0.273
62,-0.098
63,0.024
64,-0.137
65,-0.251
66,-0.217
67,0.105
68,0.01
69,-0.12
70,-0.012
71,-0.095
72,-0.144
73,-0.393
74,-0.034
75,-0.112
76,0.034
77,-0.129
78,-0.027
79,-0.134
80,-0.168
81,-0.146
82,-0.176
83,-0.193
84,0.049
85,0.034
86,-0.247
87,-0.051
88,-0.117
89,-0.012
90,-0.144
91,-0.088
92,-0.002
93,-0.073
94,0.01
95,-0.071
96,-0.168
97,-0.234
98,-0.063
99,-0.088
100,-0.037
101,-0.12
102,-0.239
103,0.073
104,-0.078
105,-0.154
106,-0.19
107,-0.254
108,-0.071
109,0.022
110,-0.107
111,-0.046
112,-0.188
113,-0.298
114,-0.171
115,-0.129
116,-0.356
117,-0.334
118,-0.093
119,-0.056
120,-0.159
121,-0.295
122,-0.139
123,-0.315
124,-0.227
125,0.076
126,0.017
127,-0.054
128,-0.115
129,-0.015
130,-0.088
131,-0.068
132,0.034
133,0.11
134,-0.029
135,-0.146
136,-0.105
137,-0.085
138,-0.046
139,-0.183
140,-0.149
141,-0.046
142,-0.081
143,-0.173
144,-0.042
145,-0.144
146,-0.056
147,0.02
148,-0.051
149,0.027
150,-0.095
151,-0.078
152,-0.122
153,-0.037
154,-0.088
155,-0.068
156,-0.234
157,-0.251
158,-0.085
159,-0.212
160,-0.007
161,-0.063
162,-0.122
163,-0.093
164,-0.027
165,-0.098
166,-0.042
167,0.068
168,-0.181
169,0.056
170,-0.481
171,-0.305
172,0.244
173,0.032
174,-0.027
175,0.076
176,-0.234
177,-0.413
178,-0.002
179,-0.19
180,-0.195
181,-0.229
182,-0.166
183,-0.264
184,-0.139
185,-0.112
186,0.117
187,-0.139
188,-0.247
189,0.034
190,-0.215
191,-0.203
192,-0.012
193,-0.098
194,-0.376
195,-0.198
196,-0.107
197,-0.098
198,-0.388
199,-0.222
200,0.059
201,-0.002
202,-0.193
203,-0.115
204,-0.093
205,-0.142
206,-0.186
207,-0.183
208,-0.225
209,-0.178
210,-0.154
211,-0.122
212,0.046
213,-0.032
214,-0.112
215,0.244
216,0.042
217,-0.02
218,0.149
219,-0.112
220,-0.295
221,-0.142
222,-0.046
223,-0.156
224,-0.11
225,-0.21
226,-0.281
227,-0.283
228,-0.149
229,-0.308
230,-0.129
231,-0.007
232,-0.071
233,-0.159
234,0.085
235,-0.012
236,-0.352
237,-0.188
238,-0.176
239,-0.056
240,-0.142
241,-0.259
242,-0.264
243,-0.12
244,-0.237
245,-0.249
246,-0.098
247,-0.093
248,-0.408
249,-0.259
250,-0.054
251,-0.066
252,-0.164
253,0.1
254,0.063
255,-0.142
256,-0.188
257,-0.183
258,-0.244
259,-0.132
260,0.061
261,0.156
262,-0.083
263,-0.293
264,-0.088
265,-0.142
266,-0.254
267,-0.156
268,0.1
269,-0.31
270,-0.142
271,-0.107
272,-0.093
273,-0.137
274,-0.212
275,-0.09
276,-0.034
277,-0.237
278,-0.391
279,-0.044
280,-0.034
281,-0.032
282,-0.056
283,-0.149
284,-0.325
285,-0.208
286,-0.359
287,-0.125
288,0.005
289,-0.051
290,-0.095
291,-0.022
292,-0.024
293,-0.051
294,-0.049
295,-0.022
296,0.093
297,0.015
298,-0.315
299,0.378
300,-0.022
301,-0.078
302,0.112
303,-0.166
304,-0.178
305,-0.012
306,-0.242
307,-0.334
308,-0.32
309,-0.354
310,-0.125
311,-0.122
312,-0.144
313,0.007
314,0.181
315,-0.146
316,-0.264
317,-0.151
318,-0.195
319,-0.068
320,-0.291
321,-0.171
322,-0.149
323,-0.049
324,-0.215
325,-0.027
326,-0.098
327,-0.261
328,-0.193
329,-0.112
330,0.012
331,-0.21
332,-0.059
333,-0.083
334,0.129
335,-0.332
336,-0.059
337,0.115
338,0.063
339,-0.093
340,-0.037
341,-0.212
342,-0.186
343,-0.2
344,-0.19
345,-0.078
346,-0.193
347,-0.183
348,-0.107
349,-0.19
350,-0.168
351,-0.22
352,-0.181
353,-0.076
354,0.054
355,-0.188
356,-0.012
357,-0.205
358,-0.029
359,-0.073
360,-0.129
361,-0.19
362,-0.027
363,-0.208
364,-0.195
365,-0.266
366,-0.22
367,-0.063
368,-0.132
369,-0.027
370,-0.044
371,-0.142
372,-0.159
373,-0.176
374,-0.151
375,-0.054
376,-0.02
377,-0.083
378,-0.247
379,-0.19
380,0.01
381,-0.022
382,-0.129
383,-0.164
384,-0.134
385,-0.227
386,-0.212
387,-0.212
388,-0.21
389,-0.305
390,-0.278
391,-0.173
392,-0.154
393,-0.261
394,-0.085
395,0.017
396,0.002
397,-0.181
398,-0.11
399,0.024
400,-0.027
401,-0.186
402,-0.183
403,-0.19
404,-0.159
405,0.0
406,-0.037
407,-0.225
408,-0.276
409,-0.2
410,-0.024
411,-0.139
412,-0.066
413,-0.044
414,-0.122
415,-0.144
416,-0.027
417,-0.076
418,-0.173
419,-0.024
420,-0.032
421,-0.259
422,-0.037
423,0.093
424,-0.205
425,-0.159
426,-0.103
427,-0.046
428,-0.198
429,-0.144
430,-0.208
431,-0.139
432,-0.283
433,-0.173
434,-0.017
435,-0.149
436,-0.237
437,-0.022
438,-0.127
439,-0.146
440,-0.046
441,-0.098
442,-0.076
443,-0.12
444,-0.173
445,-0.117
446,-0.007
447,-0.156
448,-0.146
449,-0.051
450,-0.161
451,-0.066
452,-0.149
453,-0.029
454,-0.125
455,-0.222
456,-0.122
457,0.203
458,-0.117
459,-0.256
460,-0.09
461,-0.081
462,0.017
463,0.088
464,0.063
465,-0.154
466,-0.066
467,-0.195
468,-0.261
469,-0.125
470,-0.09
471,-0.273
472,-0.31
473,-0.056
474,-0.088
475,-0.283
476,-0.295
477,-0.093
478,-0.1
479,-0.205
480,-0.166
481,-0.161
482,-0.132
483,-0.11
484,-0.142
485,-0.032
486,-0.115
487,-0.276
488,-0.032
489,0.029
490,-0.105
491,-0.105
492,-0.137
493,-0.127
494,-0.208
495,-0.237
496,-0.22
497,-0.12
498,-0.232
499,-0.198
500,-0.002
501,-0.024
502,-0.012
503,-0.044
504,-0.029
505,-0.1
506,-0.12
507,-0.051
508,0.037
509,-0.073
510,-0.081
511,-0.256
512,-0.1
513,-0.129
514,-0.115
515,-0.015
516,-0.161
517,-0.288
518,-0.144
519,-0.032
520,0.059
521,-0.103
522,-0.02
523,-0.054
524,-0.017
525,-0.19
526,-0.171
527,-0.2
528,0.093
529,-0.129
530,-0.303
531,-0.088
532,-0.11
533,-0.144
534,-0.325
535,-0.166
536,-0.103
537,-0.056
538,-0.051
539,0.002
540,0.022
541,-0.115
542,-0.12
543,-0.073
544,-0.217
545,-0.188
546,-0.134
547,-0.271
548,-0.134
549,-0.188
550,-0.203
551,0.022
552,-0.032
553,-0.166
554,-0.164
555,-0.173
556,-0.127
557,-0.144
558,-0.178
559,-0.078
560,0.032
561,-0.127
562,-0.149
563,-0.271
564,-0.3
565,-0.029
566,0.295
567,0.193
568,-0.405
569,-0.344
570,-0.125
571,-0.1
572,-0.117
573,-0.115
574,-0.11
575,-0.166
576,-0.2
577,-0.051
578,-0.247
579,0.061
580,-0.159
581,-0.081
582,-0.059
583,-0.081
584,-0.22
585,-0.217
586,0.078
587,0.134
588,-0.125
589,-0.154
590,0.115
591,-0.315
592,-0.259
593,-0.278
594,-0.073
595,-0.242
596,-0.259
597,-0.198
598,-0.161
599,-0.2
600,-0.281
601,0.0
602,0.066
603,0.007
604,-0.352
605,-0.271
606,-0.193
607,-0.178
608,-0.098
609,-0.164
610,0.049
611,-0.015
612,-0.015
613,-0.051
614,-0.249
615,-0.308
616,0.002
617,-0.015
618,0.034
619,-0.156
620,-0.088
621,0.012
622,-0.017
623,-0.024
624,-0.139
625,-0.134
626,-0.173
627,0.061
628,0.071
629,-0.09
630,-0.383
631,-0.259
632,0.122
633,-0.195
634,-0.205
635,-0.215
636,-0.107
637,-0.007
638,-0.317
639,-0.203
640,0.098
641,-0.039
642,-0.112
643,-0.005
644,-0.193
645,-0.21
646,-0.154
647,-0.227
648,-0.127
649,-0.107
650,-0.142
651,-0.061
652,-0.029
653,-0.125
654,0.02
655,-0.139
656,-0.1
657,-0.002
658,-0.107
659,-0.237
660,-0.029
661,0.132
662,-0.132
663,-0.017
664,-0.044
665,-0.027
666,-0.044
667,-0.129
668,-0.093
669,-0.171
670,-0.215
671,-0.149
672,0.049
673,-0.19
674,0.0
675,-0.186
676,-0.151
677,-0.044
678,-0.193
679,-0.269
680,0.029
681,0.012
682,-0.139
683,-0.176
684,-0.129
685,-0.088
686,-0.193
687,-0.132
688,-0.032
689,-0.054
690,-0.291
691,-0.139
692,-0.01
693,-0.227
694,-0.139
695,-0.034
696,-0.056
697,-0.046
698,-0.037
699,-0.132
700,-0.137
701,0.088
702,-0.061
703,-0.178
704,-0.144
705,-0.029
706,-0.017
707,-0.125
708,-0.251
709,-0.146
710,-0.085
711,-0.212
712,-0.1
713,-0.081
714,-0.144
715,-0.239
716,-0.154
717,-0.151
718,-0.024
719,-0.105
720,-0.19
721,-0.125
722,-0.068
723,-0.149
724,-0.127
725,-0.168
726,-0.234
727,-0.12
728,-0.154
729,-0.132
730,-0.154
731,-0.237
732,-0.085
733,-0.037
734,-0.117
735,-0.039
736,-0.105
737,-0.029
738,0.042
739,0.095
740,-0.039
741,-0.117
742,-0.076
743,-0.01
744,-0.156
745,-0.132
746,-0.159
747,-0.127
748,-0.183
749,-0.261
750,-0.217
751,0.002
752,-0.078
753,-0.203
754,-0.173
755,-0.059
756,-0.125
757,-0.156
758,0.01
759,-0.151
760,-0.115
761,0.017
762,-0.068
763,-0.232
764,-0.11
765,-0.059
766,-0.027
767,-0.071
768,-0.256
769,-0.139
770,-0.19
771,-0.195
772,-0.063
773,-0.127
774,-0.195
775,-0.059
776,-0.085
777,-0.027
778,0.083
779,-0.107
780,-0.149
781,-0.046
782,-0.037
783,-0.098
