,0.161
0,-0.051
1,-0.251
2,-0.095
3,-0.229
4,-0.083
5,-0.171
6,-0.242
7,-0.183
8,-0.19
9,-0.203
10,-0.149
11,-0.127
12,-0.261
13,-0.042
14,-0.115
15,-0.181
16,-0.034
17,0.068
18,-0.144
19,-0.081
20,-0.054
21,-0.059
22,-0.071
23,-0.254
24,-0.146
25,-0.134
26,-0.256
27,-0.212
28,0.01
29,-0.232
30,-0.291
31,-0.044
32,-0.107
33,-0.137
34,-0.159
35,-0.103
36,-0.034
37,-0.029
38,-0.176
39,-0.024
40,-0.139
41,-0.369
42,-0.066
43,-0.183
44,-0.369
45,-0.359
46,-0.271
47,-0.183
48,-0.208
49,-0.159
50,-0.112
51,-0.061
52,-0.095
53,-0.2
54,-0.242
55,-0.071
56,-0.059
57,0.132
58,-0.068
59,-0.293
60,-0.081
61,0.032
62,0.027
63,0.012
64,-0.093
65,-0.422
66,-0.186
67,-0.134
68,-0.212
69,-0.393
70,-0.298
71,-0.068
72,-0.134
73,-0.286
74,-0.378
75,-0.107
76,0.037
77,0.005
78,-0.159
79,-0.042
80,-0.107
81,-0.044
82,-0.049
83,0.103
84,-0.017
85,-0.154
86,-0.144
87,-0.054
88,-0.198
89,-0.469
90,-0.112
91,-0.144
92,-0.105
93,-0.144
94,-0.181
95,-0.083
96,-0.088
97,-0.264
98,-0.129
99,-0.059
100,-0.02
101,0.085
102,-0.142
103,0.061
104,0.063
105,-0.073
106,-0.015
107,-0.073
108,-0.21
109,-0.208
110,-0.088
111,-0.237
112,-0.293
113,-0.278
114,-0.112
115,0.015
116,-0.19
117,-0.205
118,-0.002
119,-0.085
120,-0.247
121,-0.3
122,-0.193
123,-0.151
124,0.024
125,-0.078
126,-0.005
127,-0.024
128,-0.002
129,0.017
130,0.02
131,-0.098
132,-0.046
133,-0.706
134,0.144
135,0.754
136,0.676
137,0.005
138,-0.522
139,-0.635
140,-0.52
141,-0.161
142,-0.254
143,-0.171
144,-0.044
145,0.242
146,-0.098
147,-0.464
148,-0.466
149,-0.107
150,0.188
151,-0.212
152,-0.212
153,-0.1
154,-0.225
155,-0.21
156,0.254
157,0.085
158,-0.247
159,-0.159
160,-0.107
161,-0.083
162,-0.217
163,-0.229
164,-0.129
165,0.01
166,-0.042
167,-0.02
168,-0.249
169,-0.281
170,-0.049
171,-0.154
172,-0.276
173,-0.205
174,-0.007
175,-0.02
176,0.037
177,-0.017
178,-0.298
179,-0.273
180,0.12
181,0.12
182,-0.12
183,-0.239
184,0.127
185,-0.056
186,-0.398
187,-0.159
188,-0.085
189,-0.137
190,-0.254
191,-0.269
192,-0.232
193,-0.122
194,-0.125
195,-0.122
196,-0.012
197,-0.076
198,-0.149
199,0.046
200,0.034
201,-0.083
202,0.015
203,-0.085
204,0.051
205,0.222
206,-0.081
207,-0.156
208,-0.002
209,-0.012
210,-0.122
211,-0.09
212,-0.181
213,-0.181
214,-0.276
215,-0.073
216,0.015
217,-0.237
218,-0.31
219,0.107
220,0.107
221,-0.183
222,-0.142
223,0.078
224,0.073
225,-0.076
226,-0.254
227,-0.166
228,-0.049
229,-0.176
230,-0.115
231,-0.024
232,-0.212
233,-0.137
234,0.007
235,-0.017
236,-0.354
237,-0.464
238,-0.366
239,0.083
240,0.166
241,-0.303
242,-0.164
243,0.027
244,0.024
245,-0.054
246,-0.222
247,-0.266
248,-0.007
249,0.12
250,-0.059
251,-0.056
252,-0.056
253,-0.166
254,-0.107
255,-0.088
256,-0.171
257,-0.088
258,-0.212
259,-0.051
260,0.061
261,-0.137
262,-0.093
263,0.054
264,0.088
265,-0.112
266,-0.002
267,-0.244
268,-0.095
269,-0.073
270,-0.02
271,-0.22
272,-0.303
273,-0.247
274,-0.059
275,0.0
276,0.034
277,-0.139
278,-0.391
279,-0.149
280,0.12
281,-0.076
282,-0.288
283,-0.247
284,-0.208
285,-0.032
286,-0.117
287,-0.278
288,-0.215
289,-0.076
290,-0.063
291,0.032
292,-0.107
293,-0.244
294,-0.068
295,-0.103
296,-0.085
297,-0.1
298,-0.105
299,-0.049
300,0.137
301,0.093
302,-0.173
303,-0.149
304,-0.125
305,-0.039
306,-0.017
307,-0.149
308,-0.127
309,-0.059
310,-0.234
311,-0.361
312,-0.244
313,-0.164
314,-0.076
315,-0.01
316,0.183
317,-0.168
318,-0.229
319,-0.029
320,-0.227
321,-0.312
322,-0.103
323,-0.095
324,-0.276
325,-0.068
326,0.144
327,0.012
328,-0.332
329,-0.159
330,0.112
331,-0.029
332,-0.168
333,-0.1
334,-0.159
335,-0.234
336,-0.105
337,0.034
338,0.01
339,-0.161
340,-0.208
341,-0.115
342,-0.066
343,-0.183
344,-0.151
345,0.049
346,-0.137
347,-0.098
348,-0.146
349,-0.186
350,-0.046
351,-0.225
352,0.027
353,-0.161
354,-0.107
355,0.059
356,-0.076
357,-0.325
358,-0.098
359,-0.029
360,0.076
361,-0.137
362,-0.317
363,-0.015
364,-0.046
365,-0.266
366,-0.122
367,-0.156
368,-0.205
369,-0.002
370,-0.002
371,-0.208
372,-0.112
373,-0.298
374,-0.044
375,0.134
376,0.005
377,-0.078
378,-0.027
379,-0.117
380,0.005
381,0.049
382,-0.068
383,0.056
384,-0.229
385,-0.259
386,-0.239
387,-0.344
388,-0.237
389,-0.034
390,-0.227
391,-0.315
392,-0.103
393,-0.22
394,-0.339
395,-0.276
396,-0.156
397,-0.056
398,-0.098
399,-0.176
400,-0.071
401,-0.117
402,-0.295
403,-0.078
404,0.002
405,-0.217
406,-0.181
407,-0.071
408,-0.19
409,-0.212
410,-0.254
411,-0.254
412,-0.339
413,-0.061
414,-0.078
415,-0.471
416,-0.186
417,0.037
418,-0.117
419,-0.12
420,-0.154
421,-0.266
422,-0.273
423,-0.056
424,-0.095
425,-0.024
426,-0.061
427,0.059
428,-0.156
429,-0.063
430,-0.12
431,-0.09
432,-0.046
433,-0.291
434,-0.012
435,-0.002
436,-0.005
437,-0.171
438,0.105
439,0.078
440,0.034
441,-0.186
442,-0.093
443,-0.188
444,0.12
445,0.015
446,-0.103
447,0.027
448,-0.122
449,-0.237
450,-0.293
451,-0.339
452,-0.046
453,-0.144
454,-0.337
455,-0.144
456,0.142
457,-0.352
458,-0.066
459,0.232
460,-0.085
461,-0.381
462,-0.054
463,-0.183
464,-0.208
465,-0.078
466,0.103
467,0.015
468,-0.269
469,-0.305
470,0.051
471,0.085
472,-0.21
473,-0.156
474,-0.107
475,-0.061
476,-0.198
477,-0.1
478,0.054
479,-0.02
480,0.076
481,-0.042
482,-0.168
483,-0.132
484,-0.217
485,-0.391
486,0.088
487,-0.137
488,-0.283
489,-0.073
490,-0.239
491,-0.183
492,-0.278
493,-0.344
494,-0.093
495,-0.125
496,-0.452
497,-0.356
498,-0.017
499,-0.229
500,-0.125
501,-0.103
502,-0.186
503,0.093
504,0.154
505,-0.19
506,-0.034
507,-0.098
508,-0.393
509,-0.09
510,-0.022
511,-0.261
512,-0.159
513,-0.129
514,-0.12
515,-0.112
516,-0.078
517,0.032
518,-0.059
519,-0.071
520,-0.232
521,-0.012
522,-0.066
523,0.078
524,-0.256
525,-0.208
526,-0.293
527,0.31
528,-0.195
529,-0.146
530,-0.127
531,-0.249
532,-0.222
533,-0.115
534,-0.115
535,-0.137
536,-0.364
537,-0.427
538,-0.012
539,-0.176
540,-0.41
541,-0.117
542,-0.071
543,-0.071
544,-0.051
545,0.095
546,-0.256
547,0.012
548,-0.037
549,0.034
550,-0.029
551,-0.227
552,-0.059
553,0.11
554,-0.105
555,-0.188
556,-0.056
557,-0.227
558,0.002
559,-0.01
560,-0.215
561,-0.173
562,-0.286
563,0.073
564,-0.049
565,-0.308
566,-0.095
567,-0.09
568,-0.339
569,-0.117
570,-0.11
571,0.015
572,-0.071
573,-0.005
574,-0.181
575,-0.22
576,-0.095
577,-0.166
578,-0.332
579,-0.286
580,0.042
581,-0.061
582,-0.178
583,-0.054
584,0.117
585,-0.049
586,-0.1
587,0.051
588,0.02
589,-0.09
590,-0.002
591,0.186
592,-0.139
593,-0.134
594,-0.007
595,0.051
596,-0.098
597,-0.271
598,-0.161
599,-0.056
600,0.02
601,-0.134
602,-0.183
603,-0.288
604,-0.215
605,-0.085
606,-0.112
607,0.083
608,-0.142
609,-0.173
610,-0.208
611,-0.186
612,-0.334
613,-0.154
614,-0.283
615,-0.132
616,-0.125
617,-0.247
618,-0.059
619,0.007
620,-0.146
621,-0.073
622,0.063
623,-0.127
624,-0.198
625,-0.286
626,-0.134
627,-0.063
628,-0.017
629,-0.071
630,-0.029
631,-0.066
632,-0.103
633,-0.081
634,-0.103
635,-0.203
636,-0.122
637,-0.017
638,-0.027
639,-0.115
640,-0.295
641,-0.354
642,-0.283
643,-0.115
644,-0.212
645,-0.334
646,-0.21
647,0.107
648,0.051
649,-0.042
650,-0.151
651,-0.208
652,-0.208
653,-0.112
654,-0.171
655,-0.083
656,-0.31
657,-0.164
658,-0.168
659,-0.408
660,0.0
661,0.093
662,-0.225
663,-0.144
664,0.149
665,-0.269
666,-0.029
667,0.098
668,-0.083
669,-0.083
670,0.02
671,-0.2
672,-0.088
673,-0.137
674,-0.056
675,0.103
676,-0.391
677,-0.3
678,0.176
679,-0.181
680,-0.273
681,0.042
682,-0.09
683,-0.256
684,0.0
685,0.186
686,-0.168
687,-0.413
688,-0.09
689,0.115
690,-0.208
691,-0.349
692,0.095
693,-0.098
694,-0.413
695,0.129
696,-0.015
697,-0.127
698,-0.447
699,-0.022
700,-0.002
701,-0.178
702,0.039
703,0.112
704,-0.312
705,-0.225
706,0.254
707,-0.217
708,-0.173
709,0.376
710,-0.242
711,-0.242
712,-0.312
713,-0.171
714,0.029
715,-0.144
716,0.12
717,-0.042
718,-0.342
719,-0.122
720,0.166
721,-0.249
722,-0.156
723,0.054
724,-0.237
725,-0.271
726,0.049
727,0.024
728,-0.129
729,-0.193
730,0.01
731,-0.115
732,-0.273
733,-0.149
734,-0.129
735,-0.396
736,-0.21
737,-0.015
738,-0.281
739,-0.178
740,-0.059
741,0.0
742,-0.208
743,-0.103
744,0.007
745,0.107
746,-0.178
747,-0.112
748,-0.022
749,-0.085
750,-0.161
751,-0.139
752,-0.088
753,-0.178
754,-0.283
755,-0.103
756,-0.078
757,-0.186
758,-0.11
759,-0.088
760,-0.002
761,0.125
762,-0.093
763,-0.151
764,-0.081
765,-0.122
766,-0.298
767,-0.093
768,-0.015
769,-0.156
770,-0.208
771,-0.203
772,-0.142
773,-0.063
774,-0.283
775,-0.176
776,-0.146
777,-0.161
778,-0.085
779,-0.227
780,-0.09
781,-0.076
782,-0.083
783,0.027
784,-0.066
785,-0.212
786,0.034
787,0.293
788,-0.061
789,-0.266
790,-0.078
791,-0.205
792,-0.166
793,-0.144
794,-0.244
795,-0.276
796,-0.022
797,-0.012
798,-0.076
799,-0.298
800,-0.229
801,-0.073
802,-0.276
803,-0.444
804,-0.312
805,-0.161
806,0.081
807,-0.083
808,-0.43
809,-0.149
810,0.007
811,-0.054
812,-0.322
813,-0.11
814,-0.032
815,-0.076
816,-0.183
817,-0.337
818,-0.103
819,-0.105
820,-0.244
821,-0.093
822,-0.112
823,-0.291
824,-0.017
825,-0.049
826,-0.159
827,-0.027
828,-0.083
829,0.076
830,-0.034
831,-0.063
832,-0.046
833,-0.039
834,-0.107
835,-0.095
836,-0.332
837,-0.247
838,-0.149
839,-0.203
840,-0.122
841,-0.254
842,-0.115
843,-0.144
844,-0.154
845,-0.085
846,-0.007
847,-0.151
848,-0.2
849,-0.117
850,-0.029
851,0.0
852,-0.112
853,-0.151
854,-0.203
855,-0.02
856,-0.044
857,-0.173
858,-0.049
859,0.034
860,-0.183
861,-0.229
862,-0.068
863,-0.063
864,-0.137
865,-0.115
866,-0.212
867,-0.012
868,-0.112
869,-0.103
870,-0.2
871,-0.181
872,-0.154
873,0.073
874,-0.066
875,-0.386
876,-0.203
877,0.066
878,-0.142
879,-0.278
880,-0.073
881,-0.059
882,0.02
883,-0.171
884,-0.1
885,-0.037
886,-0.066
887,-0.093
888,-0.007
889,-0.095
890,-0.259
891,0.017
892,0.015
893,-0.139
894,-0.173
895,-0.19
896,-0.044
897,-0.154
898,-0.171
899,-0.154
900,-0.054
901,-0.186
902,-0.044
903,-0.132
904,-0.127
905,-0.083
906,-0.081
907,0.117
908,0.149
