,-0.146
0,-0.081
1,-0.166
2,-0.203
3,-0.032
4,-0.32
5,0.022
6,-0.115
7,-0.024
8,0.088
9,-0.054
10,-0.144
11,0.017
12,-0.01
13,-0.149
14,-0.007
15,-0.088
16,-0.215
17,-0.293
18,-0.161
19,-0.142
20,-0.276
21,-0.242
22,-0.039
23,-0.02
24,-0.251
25,-0.164
26,-0.217
27,-0.081
28,0.049
29,-0.09
30,-0.061
31,0.12
32,-0.01
33,0.029
34,-0.056
35,0.017
36,-0.083
37,-0.312
38,-0.176
39,-0.09
40,-0.159
41,-0.142
42,-0.237
43,-0.159
44,-0.237
45,-0.139
46,-0.083
47,0.024
48,-0.107
49,-0.183
50,-0.061
51,0.183
52,0.151
53,-0.227
54,-0.027
55,-0.022
56,-0.046
57,-0.137
58,-0.012
59,-0.049
60,-0.261
61,-0.229
62,-0.083
63,-0.195
64,-0.4
65,-0.076
66,0.01
67,-0.098
68,-0.178
69,-0.093
70,-0.239
71,-0.081
72,-0.154
73,-0.073
74,-0.161
75,-0.195
76,-0.039
77,-0.078
78,-0.261
79,-0.21
80,-0.107
81,-0.215
82,-0.208
83,-0.144
84,-0.188
85,-0.12
86,-0.132
87,-0.083
88,-0.117
89,-0.151
90,0.19
91,0.146
92,-0.073
93,-0.017
94,0.166
95,-0.068
96,0.0
97,0.034
98,-0.176
99,-0.02
100,-0.032
101,-0.049
102,-0.342
103,-0.242
104,-0.012
105,-0.034
106,-0.044
107,-0.022
108,-0.073
109,0.002
110,-0.127
111,0.002
112,-0.022
113,-0.1
114,-0.046
115,-0.098
116,-0.122
117,0.0
118,0.09
119,-0.054
120,-0.254
121,-0.146
122,-0.237
123,-0.125
124,0.007
125,-0.017
126,-0.107
127,0.037
128,-0.061
129,0.032
130,-0.042
131,-0.276
132,-0.071
133,0.073
134,0.012
135,0.032
136,-0.059
137,-0.188
138,-0.085
139,-0.078
140,-0.173
141,-0.032
142,-0.159
143,-0.059
144,-0.063
145,-0.259
146,-0.327
147,-0.071
148,-0.203
149,-0.164
150,-0.012
151,-0.178
152,-0.059
153,-0.061
154,-0.205
155,-0.435
156,-0.222
157,-0.112
158,-0.208
159,-0.144
160,-0.205
161,-0.308
162,-0.122
163,0.046
164,-0.129
165,-0.115
166,0.029
167,0.044
168,-0.098
169,-0.151
170,0.146
171,0.105
172,-0.024
173,-0.11
174,-0.122
175,-0.225
176,-0.012
177,0.085
178,-0.078
179,-0.222
180,-0.208
181,-0.142
182,-0.137
183,-0.166
184,-0.295
185,-0.144
186,-0.2
187,-0.271
188,-0.037
189,-0.068
190,-0.239
191,-0.09
192,-0.085
193,-0.039
194,-0.1
195,-0.205
196,0.027
197,-0.142
198,-0.242
199,-0.22
200,-0.154
201,-0.078
202,-0.295
203,-0.439
204,-0.044
205,0.139
206,-0.383
207,-0.295
208,0.11
209,-0.208
210,-0.266
211,0.098
212,0.144
213,-0.054
214,-0.066
215,0.002
216,-0.002
217,-0.225
218,-0.134
219,0.115
220,-0.127
221,-0.234
222,-0.127
223,-0.134
224,-0.186
225,0.024
226,-0.176
227,-0.237
228,-0.193
229,-0.276
230,-0.149
231,-0.068
232,-0.105
233,-0.088
234,-0.208
235,-0.325
236,-0.146
237,-0.181
238,-0.139
239,-0.12
240,-0.178
241,-0.049
242,-0.193
243,-0.093
244,0.029
245,-0.137
246,-0.22
247,-0.042
248,0.171
249,-0.076
250,-0.015
251,0.044
252,-0.122
253,-0.154
254,-0.183
255,-0.156
256,-0.254
257,-0.044
258,0.042
259,-0.168
260,-0.19
261,-0.081
262,-0.127
263,-0.151
264,-0.146
265,-0.146
266,-0.125
267,-0.271
268,-0.059
269,0.139
270,-0.276
271,-0.225
272,-0.183
273,-0.186
274,-0.027
275,-0.022
276,-0.112
277,-0.139
278,-0.173
279,0.046
280,0.032
281,-0.205
282,-0.361
283,-0.178
284,-0.229
285,-0.259
286,-0.142
287,0.056
288,0.042
289,-0.2
290,-0.112
291,0.117
292,-0.056
293,-0.098
294,-0.044
295,0.024
296,-0.076
297,-0.215
298,-0.039
299,0.054
300,-0.085
301,-0.264
302,-0.176
303,-0.164
304,-0.193
305,-0.098
306,-0.227
307,-0.068
308,-0.01
309,-0.154
310,-0.161
311,-0.054
312,-0.115
313,-0.122
314,-0.225
315,0.015
316,0.081
317,-0.325
318,-0.195
319,0.132
320,-0.332
321,-0.391
322,-0.02
323,-0.034
324,-0.173
325,-0.247
326,-0.151
327,0.032
328,-0.315
329,-0.312
330,0.193
331,0.149
332,-0.234
333,-0.178
334,0.132
335,-0.095
336,-0.271
337,-0.215
338,0.139
339,-0.068
340,-0.215
341,-0.144
342,-0.125
343,-0.195
344,-0.286
345,-0.027
346,-0.171
347,-0.232
348,-0.256
349,-0.083
350,-0.2
351,-0.183
352,-0.122
353,0.2
354,-0.105
355,-0.195
356,0.0
357,-0.061
358,-0.195
359,-0.1
360,-0.049
361,-0.281
362,-0.203
363,-0.132
364,-0.034
365,-0.254
366,-0.149
367,0.027
368,-0.281
369,-0.227
370,-0.227
371,-0.125
372,0.068
373,-0.073
374,-0.022
375,-0.02
376,0.029
377,-0.063
378,-0.042
379,-0.139
380,-0.1
381,-0.12
382,-0.039
383,-0.1
384,-0.12
385,-0.156
386,-0.405
387,-0.256
388,-0.283
389,-0.078
390,-0.22
391,-0.103
392,-0.051
393,-0.2
394,-0.327
395,-0.105
396,-0.159
397,-0.034
398,-0.132
399,-0.105
400,-0.156
401,-0.281
402,-0.139
403,-0.032
404,-0.269
405,-0.237
406,-0.193
407,-0.093
408,-0.11
409,-0.063
410,-0.161
411,0.149
412,-0.071
413,-0.061
414,-0.02
415,-0.164
416,-0.032
417,0.293
418,-0.002
419,-0.229
420,-0.293
421,-0.566
422,-0.193
423,0.081
424,-0.244
425,-0.266
426,-0.232
427,-0.208
428,-0.281
429,-0.183
430,-0.117
431,0.063
432,-0.071
433,-0.164
434,-0.083
435,-0.088
436,0.005
437,-0.144
438,-0.193
439,-0.254
440,-0.071
441,-0.139
442,-0.244
443,-0.269
444,-0.11
445,-0.195
446,-0.195
447,-0.166
448,-0.115
449,-0.19
450,-0.271
451,0.095
452,0.039
453,-0.146
454,-0.017
455,0.181
456,0.024
457,-0.039
458,0.056
459,-0.037
460,-0.129
461,-0.193
462,-0.015
463,0.103
464,0.076
465,-0.19
466,-0.232
467,-0.044
468,-0.247
469,0.085
470,-0.134
471,-0.161
472,-0.271
473,-0.188
474,-0.164
475,-0.171
476,-0.11
477,-0.054
478,-0.044
479,-0.193
480,0.007
481,0.171
482,0.01
483,-0.193
484,-0.283
485,-0.449
486,-0.002
487,-0.161
488,-0.303
489,-0.151
490,0.017
491,0.007
492,-0.105
493,-0.085
494,-0.242
495,-0.083
496,-0.005
497,0.132
498,-0.068
499,-0.273
500,-0.2
501,0.024
502,0.117
503,0.017
504,0.022
505,-0.303
506,-0.076
507,-0.085
508,-0.168
509,-0.183
510,-0.337
511,-0.286
512,-0.105
513,-0.012
514,-0.107
515,-0.12
516,-0.168
517,-0.127
518,-0.076
519,-0.171
520,-0.149
521,-0.137
522,0.081
523,-0.117
524,-0.149
525,-0.217
526,0.027
527,-0.061
528,-0.083
529,0.1
530,-0.076
531,0.083
532,0.027
533,0.088
534,-0.178
535,-0.068
536,-0.049
537,0.017
538,-0.2
539,0.046
540,-0.11
541,-0.176
542,-0.085
543,-0.081
544,-0.088
545,-0.376
546,-0.132
547,0.061
548,-0.154
549,-0.166
550,-0.066
551,-0.166
552,-0.151
553,-0.098
554,-0.029
555,0.02
556,-0.205
557,-0.378
558,-0.078
559,0.015
560,-0.156
561,-0.229
562,0.02
563,-0.222
564,-0.132
565,-0.085
566,-0.127
567,0.005
568,-0.039
569,-0.129
570,-0.12
571,0.01
572,-0.244
573,0.146
574,-0.056
575,-0.132
576,-0.278
577,0.005
578,-0.034
579,-0.232
580,-0.334
581,0.076
582,-0.178
583,-0.315
584,-0.244
585,-0.032
586,-0.186
587,-0.007
588,-0.059
589,-0.037
590,-0.237
591,-0.193
592,0.005
593,0.098
594,-0.256
595,0.027
596,-0.002
597,-0.237
598,-0.164
599,-0.171
600,-0.283
601,0.068
602,0.037
603,-0.212
604,-0.054
605,-0.029
606,0.063
607,-0.054
608,-0.259
609,-0.103
610,0.117
611,-0.11
612,-0.12
613,0.029
614,-0.161
615,-0.159
616,0.015
617,0.137
618,-0.107
619,-0.234
620,-0.054
621,0.029
622,-0.098
623,-0.105
624,-0.044
625,-0.166
626,-0.159
627,-0.251
628,-0.178
629,-0.232
630,-0.076
631,-0.046
632,-0.095
633,-0.085
634,-0.171
635,-0.059
636,-0.151
637,-0.132
638,-0.176
639,-0.132
640,-0.166
641,-0.071
642,-0.164
643,-0.049
644,-0.071
645,-0.186
646,-0.237
647,-0.222
648,-0.154
649,-0.029
650,0.203
651,-0.337
652,-0.203
653,-0.132
654,-0.186
655,-0.144
656,-0.002
657,-0.183
658,-0.115
659,0.049
660,-0.283
661,-0.168
662,-0.056
663,-0.139
664,0.005
665,-0.242
666,-0.305
