,-0.151.1
0,-0.234
1,-0.054
2,-0.303
3,-0.237
4,-0.132
5,-0.078
6,-0.195
7,-0.168
8,-0.046
9,-0.09
10,-0.156
11,-0.173
12,0.076
13,-0.125
14,-0.115
15,-0.1
16,-0.156
17,-0.049
18,0.037
19,0.007
20,-0.205
21,-0.127
22,-0.193
23,-0.068
24,-0.315
25,-0.176
26,-0.151
27,-0.098
28,-0.164
29,-0.256
30,-0.049
31,-0.066
32,-0.142
33,-0.156
34,-0.015
35,-0.068
36,0.02
37,-0.017
38,-0.146
39,-0.054
40,-0.103
41,-0.225
42,-0.12
43,-0.051
44,-0.251
45,-0.098
46,-0.19
47,-0.112
48,-0.076
49,-0.078
50,-0.029
51,-0.205
52,-0.298
53,-0.127
54,0.056
55,-0.188
56,-0.215
57,-0.129
58,-0.039
59,-0.071
60,-0.125
61,-0.183
62,-0.269
63,-0.356
64,-0.171
65,-0.032
66,-0.33
67,-0.232
68,-0.132
69,-0.161
70,0.037
71,0.056
72,-0.078
73,-0.134
74,-0.071
75,0.015
76,-0.032
77,-0.254
78,0.037
79,0.12
80,-0.178
81,-0.149
82,-0.044
83,-0.112
84,-0.171
85,-0.137
86,-0.371
87,-0.129
88,0.005
89,-0.107
90,-0.188
91,-0.034
92,-0.032
93,-0.264
94,-0.259
95,-0.203
96,-0.073
97,-0.205
98,-0.088
99,-0.208
100,-0.208
101,-0.144
102,0.068
103,-0.056
104,-0.295
105,-0.039
106,-0.159
107,-0.251
108,-0.264
109,0.078
110,-0.176
111,-0.122
112,-0.002
113,0.051
114,-0.146
115,0.071
116,0.132
117,-0.178
118,-0.059
119,-0.164
120,-0.066
121,0.051
122,-0.146
123,-0.398
124,-0.217
125,-0.09
126,0.005
127,-0.063
128,-0.032
129,-0.21
130,-0.278
131,-0.364
132,-0.295
133,-0.093
134,-0.203
135,-0.061
136,-0.056
137,-0.088
138,-0.266
139,-0.022
140,-0.032
141,-0.054
142,-0.217
143,-0.381
144,-0.425
145,-0.417
146,-0.183
147,-0.181
148,-0.151
149,0.071
150,0.046
151,-0.203
152,-0.078
153,-0.063
154,0.098
155,0.171
156,-0.061
157,-0.042
158,-0.115
159,-0.066
160,0.171
161,-0.198
162,-0.288
163,-0.188
164,-0.024
165,-0.205
166,-0.366
167,-0.33
168,-0.129
169,-0.183
170,-0.281
171,0.095
172,-0.107
173,-0.073
174,-0.081
175,0.068
176,-0.085
177,-0.01
178,0.039
179,-0.242
180,-0.103
181,-0.261
182,-0.239
183,-0.127
184,-0.015
185,-0.3
186,-0.12
187,-0.105
188,0.042
189,-0.01
190,-0.198
191,-0.081
192,-0.19
193,-0.115
194,0.059
195,0.193
196,-0.173
197,0.029
198,0.088
199,-0.149
200,0.044
201,-0.112
202,-0.137
203,-0.164
204,-0.225
205,-0.312
206,0.046
207,-0.281
208,-0.288
209,-0.186
210,-0.298
211,-0.166
212,-0.193
213,-0.203
214,-0.159
215,0.076
216,-0.171
217,-0.051
218,-0.044
219,0.002
220,-0.244
221,-0.264
222,-0.029
223,-0.098
224,-0.134
225,-0.125
226,-0.164
227,-0.383
228,-0.242
229,-0.11
230,-0.098
231,-0.269
232,-0.051
233,0.076
234,-0.151
235,-0.181
236,-0.176
237,-0.02
238,-0.122
239,0.027
240,-0.039
241,-0.056
242,-0.034
243,-0.186
244,-0.156
245,-0.198
246,-0.171
247,-0.127
248,-0.227
249,-0.129
250,-0.088
251,-0.337
252,-0.1
253,0.042
254,-0.273
255,-0.095
256,0.095
257,-0.159
258,-0.19
259,0.198
260,-0.059
261,-0.081
262,-0.146
263,-0.122
264,-0.198
265,-0.278
266,-0.156
267,-0.088
268,-0.198
269,-0.361
270,-0.122
271,-0.234
272,-0.09
273,0.073
274,-0.166
275,-0.054
276,0.063
277,0.063
278,-0.066
279,-0.034
280,-0.068
281,0.083
282,-0.071
283,0.01
284,-0.073
285,-0.212
286,-0.22
287,-0.027
288,-0.264
289,-0.425
290,-0.02
291,-0.144
292,-0.122
293,-0.242
294,-0.103
295,-0.098
296,-0.027
297,-0.339
298,-0.232
299,0.088
300,-0.029
301,-0.11
302,-0.266
303,-0.129
304,-0.132
305,-0.293
306,-0.054
307,-0.022
308,-0.103
309,-0.276
310,-0.063
311,-0.088
312,-0.015
313,-0.244
314,-0.186
315,0.02
316,0.022
317,0.12
318,0.037
319,0.139
320,-0.225
321,0.076
322,-0.078
323,0.029
324,0.01
325,0.002
326,-0.217
327,-0.046
328,0.107
329,-0.234
330,-0.203
331,-0.208
332,-0.056
333,-0.342
334,-0.183
335,-0.156
336,-0.144
337,-0.146
338,-0.002
339,-0.034
