,0.127
0,0.112
1,-0.151
2,-0.144
3,-0.107
4,-0.078
5,-0.042
6,-0.095
7,-0.129
8,-0.122
9,-0.054
10,-0.046
11,-0.137
12,-0.159
13,0.039
14,0.061
15,-0.046
16,-0.007
17,0.081
18,0.098
19,-0.042
20,-0.037
21,0.039
22,-0.01
23,-0.085
24,-0.076
25,-0.044
26,0.027
27,-0.017
28,-0.11
29,-0.059
30,-0.076
31,-0.044
32,-0.164
33,-0.012
34,0.024
35,0.002
36,-0.007
37,0.027
38,0.042
39,0.044
40,-0.032
41,0.0
42,0.01
43,-0.054
44,0.0
45,-0.037
46,-0.039
47,-0.049
48,-0.156
49,-0.171
50,-0.095
51,-0.005
52,-0.054
53,-0.129
54,-0.105
55,-0.027
56,0.015
57,-0.005
58,-0.037
59,-0.032
60,0.02
61,0.044
62,0.068
63,-0.029
64,-0.12
65,-0.139
66,-0.051
67,-0.059
68,-0.093
69,-0.071
70,-0.083
71,-0.027
72,0.005
73,0.027
74,0.078
75,0.024
76,-0.012
77,0.024
78,0.166
79,0.012
80,-0.02
81,0.186
82,0.195
83,0.183
84,-0.034
85,-0.078
86,0.007
87,0.015
88,-0.02
89,-0.081
90,-0.002
91,0.095
92,0.068
93,-0.037
94,-0.105
95,0.042
96,0.098
97,0.017
98,0.029
99,0.012
100,0.132
101,0.205
102,0.081
103,0.0
104,0.076
105,0.078
106,0.093
107,0.066
108,-0.046
109,-0.127
110,-0.051
111,0.061
112,0.042
113,-0.005
114,0.024
115,0.051
116,0.083
117,0.037
118,-0.015
119,0.083
120,0.134
121,0.059
122,-0.056
123,-0.083
124,0.073
125,0.051
126,-0.024
127,-0.149
128,-0.105
129,0.027
130,0.012
131,-0.076
132,-0.088
133,-0.044
134,0.022
135,0.12
136,0.056
137,0.068
138,0.098
139,0.11
140,0.068
141,0.117
142,0.112
143,0.054
144,-0.007
145,0.042
146,0.095
147,0.046
148,0.002
149,-0.024
150,0.037
151,0.002
152,0.039
153,0.037
154,0.002
155,0.005
156,0.078
157,0.076
158,0.027
159,0.027
160,0.034
161,0.051
162,0.232
163,0.093
164,0.032
165,0.012
166,-0.024
167,-0.042
168,-0.039
169,0.017
170,-0.046
171,0.066
172,0.054
173,-0.015
174,-0.066
175,0.081
176,0.122
177,0.012
178,-0.01
179,0.073
180,0.046
181,0.032
182,0.085
183,0.049
184,0.107
185,0.049
186,0.034
187,0.039
188,-0.02
189,0.007
190,-0.022
191,0.007
192,0.007
193,-0.005
194,0.027
195,0.046
196,0.017
197,0.081
198,0.12
199,0.171
200,0.098
201,0.071
202,0.095
203,0.09
204,0.093
205,0.063
206,-0.01
207,-0.039
208,0.0
209,-0.022
210,-0.071
211,-0.022
212,0.039
213,0.051
214,-0.002
215,0.037
216,0.017
217,0.034
218,0.061
219,0.0
220,0.042
221,0.103
222,0.107
223,0.02
224,0.046
225,0.076
226,-0.027
227,-0.046
228,-0.034
229,-0.042
230,-0.017
231,-0.017
232,-0.066
233,-0.002
234,0.042
235,0.022
236,0.029
237,0.002
238,0.042
239,0.056
240,0.105
241,0.1
242,0.063
243,0.137
244,0.19
245,0.054
246,-0.127
247,-0.105
248,0.093
249,0.178
250,-0.073
251,-0.115
252,-0.005
253,0.103
254,0.051
255,-0.081
256,-0.017
257,0.029
258,0.066
259,0.11
260,0.117
261,0.171
262,0.007
263,-0.015
264,0.0
265,0.012
266,0.171
