,-0.103
0,-0.076
1,-0.093
2,0.0
3,0.093
4,0.125
5,0.037
6,0.063
7,0.164
8,0.125
9,0.063
10,-0.034
11,0.01
12,0.034
13,-0.081
14,-0.078
15,-0.081
16,-0.039
17,0.056
18,-0.027
19,-0.063
20,-0.01
21,-0.027
22,-0.073
23,-0.056
24,0.166
25,0.156
26,-0.027
27,-0.081
28,0.161
29,0.168
30,0.027
31,-0.017
32,-0.005
33,0.046
34,-0.017
35,-0.095
36,-0.005
37,0.168
38,0.059
39,-0.098
40,-0.107
41,0.002
42,0.042
43,0.1
44,0.039
45,-0.105
46,-0.112
47,0.088
48,0.078
49,0.017
50,0.027
51,-0.024
52,0.017
53,0.071
54,-0.007
55,-0.017
56,-0.024
57,-0.024
58,-0.02
59,-0.029
60,-0.005
61,-0.061
62,-0.078
63,0.051
64,0.078
65,0.027
66,-0.027
67,-0.002
68,0.042
69,0.149
70,0.127
71,0.12
72,0.046
73,0.076
74,0.144
75,0.068
76,-0.032
77,-0.049
78,-0.039
79,-0.168
80,-0.093
81,0.042
82,0.129
83,-0.012
84,-0.107
85,-0.081
86,0.007
87,0.142
88,0.063
89,0.007
90,0.024
91,0.095
92,0.188
93,0.112
94,-0.037
95,-0.054
96,0.103
97,0.178
98,0.017
99,-0.076
100,-0.046
101,0.081
102,-0.007
103,-0.012
104,-0.046
105,0.046
106,0.061
107,0.034
108,-0.024
109,-0.073
110,0.015
111,0.168
112,0.105
113,-0.09
114,0.066
115,0.115
116,0.054
117,-0.076
118,-0.154
119,-0.115
120,-0.129
121,-0.078
122,-0.024
123,0.068
124,0.144
125,-0.017
126,-0.078
127,-0.017
128,0.022
129,0.029
130,0.02
131,-0.012
132,0.078
133,0.088
134,0.081
135,0.024
136,0.017
137,0.059
138,-0.024
139,-0.09
140,-0.027
141,-0.063
142,-0.044
143,-0.132
144,-0.144
145,-0.032
146,0.076
147,-0.005
148,-0.095
149,-0.037
150,0.054
151,0.034
152,0.015
153,-0.01
154,-0.022
155,0.027
156,0.078
157,0.059
158,-0.105
159,-0.193
160,-0.066
161,0.059
162,-0.022
163,-0.112
164,-0.132
165,-0.022
166,0.051
167,0.051
168,0.002
169,-0.046
170,0.066
171,0.083
172,0.044
173,0.024
174,0.032
175,0.105
176,0.042
177,0.029
178,-0.037
179,-0.056
180,0.046
181,0.042
182,-0.229
183,-0.137
184,-0.039
185,0.107
186,0.059
187,-0.083
188,-0.022
189,0.051
190,0.073
191,0.098
192,-0.039
193,0.039
194,0.132
195,-0.042
196,-0.176
197,-0.115
198,0.203
199,0.056
200,-0.188
201,-0.203
202,0.063
203,0.146
204,-0.005
205,-0.112
206,-0.098
207,0.125
208,0.142
209,-0.071
210,-0.054
211,0.073
212,0.168
213,0.068
214,0.002
215,0.095
