,-0.015.1
0,-0.1
1,-0.078
2,0.042
3,-0.098
4,-0.012
5,-0.034
6,0.022
7,0.083
8,0.02
9,-0.027
10,0.095
11,-0.024
12,0.029
13,0.032
14,-0.039
15,0.037
16,0.127
17,-0.085
18,-0.127
19,-0.007
20,-0.095
21,-0.061
22,-0.044
23,-0.054
24,-0.076
25,0.112
26,0.005
27,-0.017
28,0.078
29,0.027
30,-0.027
31,-0.005
32,-0.083
33,0.042
34,0.022
35,0.037
36,-0.039
37,-0.068
38,-0.054
39,0.024
40,-0.103
41,0.027
42,0.051
43,0.12
44,0.002
45,-0.051
46,-0.146
47,0.02
48,0.068
49,-0.022
50,-0.022
51,-0.063
52,-0.034
53,0.056
54,-0.054
55,-0.024
56,0.042
57,-0.007
58,0.083
59,0.027
60,0.076
61,-0.039
62,-0.081
63,0.039
64,0.044
65,0.049
66,0.066
67,-0.012
68,-0.002
69,0.007
70,-0.024
71,0.054
72,0.129
73,-0.042
74,-0.046
75,-0.076
76,-0.095
77,0.007
78,0.044
79,0.005
80,0.01
81,-0.032
82,0.049
83,0.002
84,-0.132
85,0.061
86,0.044
87,0.115
88,0.1
89,0.09
90,0.134
91,0.061
92,-0.024
93,0.01
94,0.032
95,0.015
96,0.002
97,-0.01
98,-0.076
99,-0.049
100,0.09
101,0.044
102,0.017
103,0.005
104,0.051
105,0.083
106,0.049
107,0.044
108,0.012
109,0.044
110,0.015
111,-0.059
112,-0.02
113,0.012
114,0.015
115,0.088
116,0.037
117,-0.083
118,-0.005
119,0.015
120,0.01
121,-0.024
122,-0.112
123,-0.024
124,0.051
125,0.083
126,0.098
127,-0.061
128,0.005
129,-0.005
130,0.0
131,-0.005
132,-0.117
133,0.034
134,-0.054
135,-0.09
136,0.017
137,0.012
138,0.015
139,-0.02
140,0.005
141,-0.012
142,-0.017
143,0.022
144,0.056
145,0.029
146,0.029
147,0.017
148,0.034
149,0.012
150,0.039
151,0.085
152,0.034
153,-0.012
154,-0.027
155,-0.098
156,-0.049
157,-0.029
158,0.0
159,-0.107
160,-0.088
161,0.032
162,0.005
163,-0.071
164,0.171
165,-0.027
166,0.129
167,0.1
168,-0.044
169,-0.039
170,0.09
171,-0.056
172,0.078
173,0.151
174,-0.015
175,0.034
176,0.054
177,0.063
178,0.0
179,0.017
180,0.042
181,-0.015
182,0.051
183,0.017
184,0.005
185,-0.005
186,0.061
187,0.066
188,0.117
189,0.032
190,0.085
191,0.078
192,0.081
193,0.029
194,-0.078
195,-0.027
196,0.071
197,-0.017
198,-0.012
199,-0.09
200,0.005
201,0.105
202,-0.063
203,-0.107
204,-0.02
205,0.051
206,0.076
207,0.002
208,-0.024
209,0.186
210,-0.005
211,0.105
212,0.034
213,0.056
214,0.002
215,-0.103
216,-0.01
217,0.005
218,-0.017
219,0.017
220,-0.076
221,-0.042
222,-0.073
223,-0.039
224,0.02
225,0.027
226,0.015
227,0.007
228,0.007
229,-0.012
230,0.024
231,0.017
232,-0.024
233,0.032
234,-0.068
235,0.022
236,-0.022
237,0.007
238,-0.015
239,-0.015
240,0.015
241,-0.032
242,0.012
243,-0.054
244,0.017
245,-0.02
246,0.046
247,0.029
248,-0.022
249,-0.032
250,-0.027
251,0.002
252,0.161
253,0.022
254,-0.01
255,0.061
256,0.01
257,0.081
258,-0.107
259,0.017
260,0.081
261,0.01
262,-0.024
263,-0.042
264,0.056
265,0.034
266,-0.073
267,0.027
268,0.176
269,0.039
270,0.024
271,0.137
272,0.037
273,0.0
274,0.032
275,-0.005
276,0.054
277,-0.029
278,-0.015
279,-0.039
280,-0.056
281,-0.049
282,0.027
283,0.039
284,0.046
285,-0.029
286,0.046
287,0.1
288,0.017
289,-0.061
290,0.073
291,0.081
292,-0.02
293,0.012
294,0.02
295,-0.01
296,-0.044
297,-0.042
298,-0.032
299,0.046
300,0.034
301,0.027
302,0.012
303,-0.095
304,0.083
305,-0.029
306,-0.149
307,-0.02
308,0.073
309,0.059
310,0.032
311,0.012
312,0.032
313,0.056
314,0.044
315,-0.005
316,-0.125
317,0.103
318,-0.032
319,-0.063
320,-0.012
321,-0.061
322,0.007
323,-0.017
324,-0.103
325,0.017
326,0.105
327,0.115
328,0.095
329,-0.007
330,0.042
331,0.107
332,-0.024
333,-0.022
334,-0.007
335,0.027
336,0.017
337,-0.002
338,-0.015
339,-0.005
340,-0.056
341,-0.081
342,-0.066
343,-0.022
344,0.007
345,-0.027
346,-0.01
347,-0.032
348,0.076
349,0.059
350,0.015
351,-0.017
352,0.066
353,0.068
354,-0.005
355,-0.002
356,0.093
357,0.044
358,-0.066
359,0.078
360,0.112
361,0.103
362,0.029
363,-0.015
364,0.039
365,0.007
366,0.059
367,-0.042
368,0.007
369,0.088
370,0.056
371,0.029
372,0.081
373,0.049
374,0.09
375,-0.027
376,0.01
377,0.032
378,-0.017
379,0.081
380,-0.137
381,-0.222
382,-0.076
383,-0.051
384,-0.095
385,-0.117
386,-0.061
387,0.027
388,-0.051
389,-0.051
390,0.024
391,-0.024
392,-0.027
393,-0.056
394,-0.071
395,-0.083
396,-0.046
397,-0.032
398,-0.12
399,-0.002
400,-0.005
401,-0.042
402,-0.061
403,-0.034
404,0.039
405,0.081
406,-0.005
407,0.044
408,0.002
409,0.002
410,0.132
411,0.034
412,0.024
413,-0.02
414,0.061
415,0.107
416,-0.071
417,-0.076
418,-0.007
419,0.051
420,0.103
421,-0.059
422,-0.01
423,-0.034
424,-0.061
425,0.024
426,0.0
427,0.0
428,0.01
429,0.044
430,0.049
431,0.037
432,-0.015
433,0.015
434,0.027
435,-0.029
436,0.027
437,-0.081
438,0.005
439,-0.078
440,-0.063
441,0.005
442,-0.017
443,-0.056
444,-0.049
445,0.015
446,-0.046
447,0.002
448,0.022
449,0.044
450,-0.007
451,0.029
452,0.098
453,0.066
454,-0.012
455,0.032
456,0.029
457,0.129
458,-0.063
459,-0.02
460,-0.029
461,-0.173
462,-0.039
463,-0.037
464,0.007
465,-0.054
466,-0.015
467,-0.071
468,0.066
469,-0.024
470,0.034
471,0.02
472,-0.081
473,0.042
474,0.007
475,0.032
476,-0.044
477,-0.046
478,0.024
479,-0.071
480,-0.103
481,-0.068
482,-0.024
483,-0.012
484,-0.024
485,-0.129
486,-0.073
487,0.039
488,-0.012
489,-0.007
490,0.088
491,0.098
492,-0.1
493,-0.044
494,0.034
495,-0.022
496,-0.049
497,0.017
498,0.054
499,0.005
500,-0.051
501,-0.049
502,-0.034
503,-0.046
504,-0.127
505,-0.156
506,0.046
507,-0.125
508,-0.002
509,0.032
510,-0.007
511,-0.059
512,-0.081
513,0.173
514,0.188
515,-0.09
516,0.083
517,-0.039
518,0.007
519,0.029
520,0.005
521,-0.083
522,-0.098
523,-0.205
524,-0.027
525,-0.144
526,0.076
527,0.11
528,-0.032
529,0.044
530,0.027
531,-0.049
532,0.022
533,0.098
534,0.098
535,0.107
536,0.005
537,0.027
538,-0.012
539,-0.034
540,-0.01
541,0.034
542,-0.029
543,-0.085
544,-0.063
545,0.007
546,-0.034
547,-0.112
548,-0.107
549,-0.032
550,0.012
551,-0.02
552,-0.046
553,0.081
554,0.103
555,-0.024
556,0.007
557,-0.09
558,0.024
559,0.056
560,-0.161
561,-0.032
562,-0.042
563,-0.149
564,-0.144
565,-0.188
566,-0.056
567,-0.054
568,-0.164
569,-0.139
570,-0.051
571,0.027
572,0.034
573,-0.024
574,-0.049
575,-0.002
576,0.078
577,0.054
578,-0.005
579,0.02
580,-0.007
581,-0.005
582,0.032
583,-0.029
584,-0.078
585,-0.027
586,-0.027
587,-0.039
588,0.039
589,0.19
590,0.068
591,0.059
592,0.01
593,0.171
594,-0.005
595,0.149
596,0.037
597,-0.042
598,0.042
599,0.024
600,-0.007
601,0.005
602,-0.056
603,0.012
604,-0.039
605,-0.059
606,-0.112
607,-0.132
608,-0.076
609,0.085
610,-0.007
611,0.022
612,-0.02
613,0.007
614,0.129
615,0.159
616,0.051
617,0.09
618,0.046
619,0.032
620,0.056
621,0.037
622,-0.02
623,-0.02
624,-0.093
625,-0.039
626,0.117
627,-0.034
628,-0.105
629,-0.005
630,-0.032
631,-0.002
632,-0.049
633,-0.037
634,0.095
635,-0.037
636,-0.024
637,0.063
638,0.022
639,0.1
640,-0.027
641,-0.024
642,0.032
643,-0.076
644,-0.029
645,0.012
646,-0.066
647,0.015
648,-0.098
649,-0.044
650,-0.007
651,0.005
652,-0.156
653,0.054
654,0.063
655,-0.007
656,-0.044
657,0.01
658,-0.029
659,0.027
660,-0.095
661,-0.088
662,0.032
663,-0.024
664,-0.085
665,-0.088
666,-0.149
667,-0.103
668,-0.042
669,-0.149
670,-0.032
671,0.0
672,0.007
673,0.044
674,-0.103
675,0.029
676,0.073
677,-0.034
678,0.042
679,0.081
680,0.134
681,0.056
682,0.0
683,0.0
684,0.012
685,-0.044
686,0.002
687,0.027
688,0.054
689,0.061
690,-0.017
691,-0.056
692,-0.032
693,0.054
694,0.144
695,0.042
696,-0.024
697,0.046
698,0.054
699,-0.032
700,-0.017
701,-0.046
702,0.015
703,0.01
704,0.056
705,-0.078
706,-0.088
707,-0.024
708,-0.007
709,0.007
710,0.002
711,0.073
712,0.105
713,0.073
714,0.02
715,0.039
716,0.051
717,0.076
718,0.029
719,-0.002
720,0.105
721,0.095
722,-0.054
723,-0.125
724,-0.051
725,0.002
726,-0.117
727,-0.093
728,-0.088
729,-0.02
730,0.115
731,0.059
732,-0.042
733,-0.085
734,0.032
735,0.09
736,0.002
737,-0.002
738,0.0
739,-0.002
740,0.049
741,0.029
742,-0.005
743,-0.105
744,0.024
745,0.01
746,-0.095
747,-0.039
748,0.002
749,0.083
750,-0.051
751,-0.115
752,-0.022
753,0.017
754,-0.017
755,0.049
756,-0.054
757,-0.098
758,0.044
759,-0.024
760,0.081
761,0.068
762,-0.063
763,-0.088
764,-0.024
765,-0.034
766,-0.129
767,-0.11
768,-0.088
769,-0.061
770,0.034
771,-0.02
772,0.032
773,-0.049
774,0.007
775,0.095
776,0.02
777,-0.037
778,0.061
779,-0.002
780,-0.044
781,-0.022
782,0.059
783,-0.002
784,0.042
785,0.032
786,-0.059
787,-0.051
788,0.083
789,0.083
790,-0.068
791,-0.166
792,-0.1
793,0.029
794,0.081
795,-0.037
796,-0.098
797,-0.044
798,0.02
799,0.085
800,-0.093
801,-0.059
802,0.037
803,-0.007
804,-0.02
805,-0.049
806,0.051
807,-0.017
808,-0.083
809,0.09
810,-0.073
811,-0.081
812,0.02
813,-0.054
814,0.027
815,0.051
816,0.076
817,0.046
818,-0.002
819,0.002
820,0.085
821,0.063
822,0.037
823,0.034
824,0.046
825,-0.061
826,-0.034
827,-0.032
828,-0.09
829,-0.054
830,-0.085
831,0.02
832,-0.022
833,0.046
834,0.054
835,-0.042
836,-0.151
837,-0.037
838,0.088
839,-0.034
840,-0.044
841,0.032
842,0.059
843,-0.054
844,-0.02
845,0.015
846,-0.063
847,-0.044
848,0.078
849,-0.054
850,0.056
851,0.029
852,-0.051
853,0.0
854,-0.044
855,0.024
856,0.034
857,-0.02
858,0.032
859,0.007
860,0.076
861,-0.02
862,0.002
863,0.002
864,-0.061
865,-0.002
866,0.01
867,-0.081
868,-0.02
869,-0.054
870,-0.112
871,-0.137
872,-0.1
873,-0.051
874,0.039
875,0.012
876,-0.061
877,-0.02
878,-0.007
879,0.024
880,0.11
881,0.093
882,0.098
883,0.115
884,-0.029
885,-0.022
886,0.017
887,-0.1
888,-0.068
889,0.0
890,-0.11
891,-0.066
892,-0.129
893,0.02
894,-0.132
895,0.037
896,-0.059
897,0.005
898,0.054
899,-0.017
900,0.061
901,0.027
902,-0.007
903,-0.042
904,-0.12
905,-0.027
906,-0.046
907,-0.068
908,-0.076
909,0.02
910,-0.027
911,-0.076
912,-0.042
913,-0.105
914,-0.01
915,-0.054
916,-0.022
917,0.007
918,-0.105
919,0.09
920,0.071
921,0.095
922,0.195
923,-0.103
924,0.071
925,0.042
926,-0.042
927,0.063
928,-0.012
929,0.056
930,0.027
931,-0.076
932,-0.007
933,0.015
934,0.156
935,0.015
936,0.012
937,0.078
938,-0.024
939,0.044
940,0.056
941,-0.046
942,0.017
943,0.039
944,-0.081
945,0.056
946,-0.088
947,0.044
948,0.146
949,-0.039
950,0.046
951,-0.056
952,-0.02
953,0.039
954,0.02
955,0.02
956,-0.024
957,0.029
958,0.029
959,-0.061
960,-0.042
961,0.029
962,0.02
963,-0.007
964,-0.081
965,-0.042
966,-0.049
967,0.063
968,-0.015
969,-0.054
970,0.039
971,0.002
972,-0.068
973,-0.054
974,-0.073
975,-0.022
976,-0.002
977,-0.085
978,-0.044
979,0.085
980,0.002
981,0.198
982,-0.071
983,-0.051
984,-0.002
985,-0.015
986,0.059
987,0.015
988,-0.09
989,-0.01
990,0.039
991,-0.032
992,-0.037
993,-0.051
994,0.0
995,-0.042
996,-0.107
997,0.022
998,-0.029
999,0.024
1000,0.027
1001,-0.044
1002,-0.061
1003,0.002
1004,-0.022
1005,-0.071
1006,-0.017
1007,-0.015
1008,0.037
1009,0.0
1010,0.017
1011,-0.044
1012,0.024
1013,0.146
1014,0.081
1015,-0.007
1016,0.098
1017,0.098
1018,0.017
1019,0.112
1020,0.081
1021,0.093
1022,-0.049
1023,0.093
1024,0.015
1025,0.029
1026,-0.017
1027,-0.066
1028,-0.098
1029,-0.007
1030,0.007
1031,0.049
1032,0.1
1033,-0.02
1034,-0.081
1035,0.007
1036,0.107
1037,0.042
1038,-0.017
1039,0.098
1040,0.156
1041,0.127
1042,0.02
1043,0.186
1044,0.039
1045,0.032
1046,0.166
1047,0.12
1048,0.112
1049,0.037
1050,-0.051
1051,0.054
1052,-0.088
1053,-0.107
1054,-0.073
1055,-0.11
1056,-0.088
1057,0.0
1058,0.112
1059,-0.012
1060,-0.037
1061,0.159
1062,0.068
1063,0.032
1064,-0.017
1065,0.054
1066,0.005
1067,-0.059
1068,-0.042
1069,-0.024
1070,0.022
1071,-0.027
1072,-0.015
1073,-0.068
1074,-0.098
1075,-0.042
1076,-0.027
1077,-0.027
1078,-0.139
1079,-0.029
1080,-0.02
1081,0.044
1082,0.071
1083,-0.024
1084,0.027
1085,0.034
1086,-0.105
1087,-0.054
1088,-0.049
1089,0.007
1090,-0.02
1091,-0.117
1092,-0.112
1093,-0.085
1094,-0.068
1095,-0.112
1096,-0.037
1097,-0.034
1098,0.044
1099,0.002
1100,-0.088
1101,0.007
1102,-0.051
1103,-0.061
1104,0.017
1105,0.002
1106,0.0
1107,0.139
1108,0.083
1109,0.063
1110,0.017
1111,0.032
1112,0.039
1113,-0.042
1114,0.012
1115,0.137
1116,0.073
1117,0.0
1118,0.083
1119,0.083
1120,-0.01
1121,0.098
1122,0.088
1123,0.007
1124,0.037
1125,0.081
1126,0.093
1127,0.061
1128,0.076
1129,0.007
1130,0.054
1131,0.0
1132,-0.059
1133,0.01
1134,-0.081
1135,0.0
1136,0.0
1137,-0.015
1138,-0.02
1139,0.056
1140,0.005
1141,0.046
1142,0.034
1143,0.022
1144,0.125
1145,0.063
1146,-0.127
1147,0.024
1148,0.027
1149,0.054
1150,0.02
1151,-0.068
1152,-0.059
1153,-0.134
1154,-0.068
1155,0.007
1156,-0.073
1157,-0.098
1158,-0.02
1159,0.044
1160,0.017
1161,-0.071
1162,-0.005
1163,-0.044
1164,-0.056
1165,-0.017
1166,-0.054
1167,0.039
1168,0.154
1169,-0.071
1170,-0.029
1171,-0.132
1172,-0.056
1173,-0.11
1174,-0.2
1175,-0.176
1176,-0.066
1177,-0.034
1178,0.002
1179,-0.105
1180,-0.085
1181,-0.007
1182,0.005
1183,0.059
1184,0.017
1185,-0.007
1186,0.056
1187,-0.042
1188,-0.051
1189,0.027
1190,0.037
1191,0.02
1192,0.066
1193,-0.012
1194,-0.017
1195,0.002
1196,-0.017
1197,0.056
1198,-0.01
1199,-0.061
1200,-0.012
1201,-0.034
1202,0.037
1203,0.088
1204,0.015
1205,0.081
1206,0.068
1207,0.046
1208,0.046
1209,-0.027
1210,0.039
1211,-0.044
1212,-0.093
1213,-0.032
1214,-0.02
1215,0.068
1216,0.022
1217,-0.029
1218,-0.029
1219,0.051
1220,0.12
1221,0.063
1222,0.0
1223,0.012
1224,0.046
1225,0.029
1226,0.1
1227,0.105
1228,0.112
1229,0.117
1230,-0.007
1231,-0.002
1232,0.061
