,-0.007
0,0.056
1,0.078
2,0.054
3,-0.039
4,-0.039
5,0.012
6,0.029
7,-0.032
8,-0.039
9,-0.122
10,-0.01
11,0.01
12,-0.117
13,-0.007
14,-0.1
15,-0.144
16,-0.127
17,0.005
18,0.061
19,-0.049
20,-0.144
21,0.098
22,-0.037
23,-0.002
24,-0.063
25,-0.061
26,0.032
27,-0.122
28,-0.176
29,-0.083
30,-0.032
31,-0.007
32,-0.066
33,-0.09
34,-0.061
35,-0.071
36,-0.056
37,-0.037
38,-0.005
39,0.017
40,0.007
41,0.007
42,0.015
43,-0.042
44,0.068
45,0.071
46,-0.068
47,-0.039
48,-0.049
49,-0.005
50,-0.071
51,-0.071
52,0.039
53,0.049
54,0.002
55,-0.012
56,0.007
57,0.129
58,0.022
59,-0.117
60,-0.017
61,-0.01
62,-0.012
63,0.037
64,0.034
65,0.073
66,0.054
67,0.085
68,0.032
69,-0.029
70,0.11
71,0.166
72,0.042
73,-0.056
74,-0.002
75,0.125
76,0.027
77,-0.117
78,-0.081
79,0.068
80,0.042
81,0.051
82,0.024
83,0.068
84,0.024
85,0.061
86,0.071
87,-0.059
88,-0.049
89,0.042
90,-0.012
91,-0.049
92,-0.085
93,0.037
94,0.034
95,-0.039
96,-0.012
97,-0.002
98,-0.066
99,-0.054
100,-0.122
101,-0.054
102,-0.037
103,-0.037
104,-0.017
105,-0.068
106,-0.063
107,-0.061
108,-0.056
109,0.007
110,-0.039
111,-0.068
112,-0.054
113,-0.073
114,0.02
115,0.02
116,-0.166
117,-0.122
118,-0.068
119,-0.027
120,-0.005
121,-0.137
122,-0.017
123,0.071
124,-0.024
125,-0.042
126,-0.012
127,0.042
128,0.059
129,-0.098
130,-0.017
131,0.063
132,0.007
133,0.049
134,-0.071
135,-0.105
136,0.049
137,-0.083
138,-0.054
139,0.012
140,0.002
141,0.046
142,-0.09
143,-0.024
144,0.051
145,-0.024
146,0.1
147,0.005
148,-0.09
149,-0.061
150,0.166
151,0.112
152,-0.078
153,-0.083
154,0.095
155,-0.103
156,-0.005
157,-0.042
158,0.02
159,0.024
160,-0.042
161,0.002
162,0.054
163,-0.017
164,0.044
165,0.017
166,0.054
167,-0.02
168,0.142
169,-0.024
170,0.046
171,0.042
172,-0.076
173,0.056
174,-0.112
175,-0.007
176,0.059
177,0.012
178,-0.085
179,-0.154
180,0.002
181,0.024
182,-0.095
183,-0.015
184,-0.105
185,-0.122
186,-0.012
187,-0.063
188,0.112
189,0.054
190,0.042
191,-0.015
192,-0.002
193,-0.022
194,-0.095
195,-0.059
196,0.022
197,0.044
198,-0.029
199,-0.015
200,-0.244
201,0.024
202,0.049
203,-0.068
204,0.076
205,0.078
206,0.061
207,-0.005
208,0.083
209,-0.022
210,0.066
211,0.039
212,-0.015
213,-0.027
214,0.078
215,0.071
216,0.032
217,-0.034
218,-0.039
219,0.112
220,0.044
221,-0.071
222,-0.076
223,0.027
224,0.027
225,0.076
226,0.071
227,0.112
228,0.107
229,0.044
230,0.054
231,-0.029
232,0.044
233,0.193
234,0.11
235,0.012
