,0.103
0,0.166
1,0.049
2,0.002
3,0.088
4,0.029
5,0.034
6,0.071
7,0.098
8,0.007
9,0.017
10,0.027
11,0.022
12,0.015
13,-0.125
14,0.017
15,0.061
16,0.01
17,-0.032
18,-0.017
19,0.068
20,-0.015
21,0.054
22,0.022
23,0.054
24,-0.015
25,-0.054
26,-0.027
27,0.017
28,0.017
29,0.085
30,0.0
31,-0.107
32,0.002
33,0.039
34,0.034
35,0.059
36,0.098
37,0.105
38,0.125
39,0.107
40,0.061
41,-0.024
42,-0.083
43,-0.002
44,0.073
45,-0.022
46,-0.081
47,-0.044
48,0.09
49,-0.051
50,-0.1
51,-0.11
52,-0.034
53,0.073
54,0.002
55,0.007
56,-0.063
57,0.012
58,0.115
59,0.015
60,-0.137
61,0.007
62,0.063
63,-0.039
64,-0.073
65,0.09
66,0.051
67,-0.061
68,-0.142
69,0.081
70,0.195
71,0.088
72,-0.066
73,-0.054
74,0.115
75,0.122
76,0.037
77,0.081
78,0.081
79,0.171
80,0.054
81,0.073
82,0.024
83,0.112
84,0.2
85,-0.017
86,-0.085
87,0.007
88,0.098
89,0.015
90,-0.005
91,0.01
92,0.005
93,-0.183
94,0.142
95,0.125
96,0.022
97,-0.007
98,0.024
99,0.076
100,0.015
101,-0.012
102,0.146
103,-0.027
104,-0.063
105,-0.056
106,0.012
107,0.01
108,0.02
109,-0.056
110,0.027
111,-0.09
112,-0.034
113,0.051
114,0.085
115,-0.054
116,-0.154
117,0.073
118,0.11
119,-0.022
120,-0.049
121,-0.017
122,-0.076
123,-0.022
124,-0.051
125,-0.085
126,-0.083
127,-0.007
128,-0.032
129,-0.176
130,-0.173
131,-0.085
132,-0.071
133,-0.103
134,0.027
135,0.039
136,-0.037
137,0.068
138,0.078
139,0.0
140,0.007
141,0.005
142,-0.007
143,0.037
144,-0.046
145,0.024
146,0.037
147,0.027
148,0.083
149,-0.068
150,0.015
151,0.054
152,0.1
153,0.12
154,0.017
155,0.029
156,0.132
157,0.02
158,0.076
159,0.044
160,0.061
161,0.098
162,-0.02
163,0.049
164,0.098
165,0.056
166,0.105
167,-0.007
168,0.037
169,-0.061
170,-0.059
171,0.076
172,0.156
173,0.046
174,0.005
175,0.088
176,0.063
177,0.002
178,0.081
179,0.076
180,0.02
181,-0.034
182,0.181
183,0.127
184,-0.007
185,0.037
186,-0.007
187,-0.061
188,-0.132
189,-0.056
190,0.085
191,0.01
192,-0.024
193,-0.061
194,-0.007
195,0.139
196,0.0
197,0.083
198,-0.039
199,0.017
200,0.037
201,0.103
202,0.007
203,-0.005
204,0.029
205,0.044
206,-0.046
207,-0.161
208,-0.112
209,-0.144
210,-0.012
211,-0.088
212,-0.093
213,-0.029
214,-0.071
215,-0.029
216,-0.046
217,-0.098
218,-0.078
219,-0.022
220,0.01
221,0.042
222,-0.046
223,0.078
224,-0.085
225,-0.107
226,-0.032
227,-0.208
228,0.093
229,0.117
230,-0.01
231,-0.046
232,-0.156
233,-0.007
234,-0.059
235,-0.032
236,0.046
237,0.093
238,-0.049
239,0.051
240,-0.002
241,0.164
242,0.168
243,0.049
244,-0.068
245,-0.042
246,0.044
247,0.117
248,-0.11
249,-0.01
250,-0.024
251,0.042
252,-0.049
253,-0.088
254,0.054
255,0.068
256,0.081
257,0.029
258,0.027
259,0.125
260,0.09
261,0.005
262,-0.032
263,0.125
264,0.156
265,0.066
266,0.0
267,-0.081
268,0.068
269,0.107
270,-0.107
271,-0.083
272,0.078
273,-0.015
274,0.015
275,0.002
276,-0.022
277,0.005
278,0.09
