,0.002.1
0,-0.022
1,0.034
2,0.049
3,-0.005
4,-0.015
5,-0.034
6,0.015
7,0.005
8,0.081
9,0.032
10,0.005
11,-0.044
12,-0.012
13,0.095
14,0.01
15,-0.024
16,0.024
17,-0.01
18,-0.01
19,0.007
20,-0.085
21,-0.083
22,-0.022
23,0.073
24,0.034
25,-0.039
26,0.061
27,0.054
28,-0.032
29,-0.02
30,0.007
31,0.061
32,0.032
33,-0.01
34,-0.005
35,0.105
36,0.073
37,0.027
38,-0.061
39,0.037
40,0.081
41,0.044
42,-0.005
43,0.01
44,0.007
45,0.017
46,-0.068
47,-0.039
48,0.017
49,0.107
50,0.103
51,-0.051
52,-0.024
53,0.037
54,-0.046
55,-0.054
56,-0.002
57,-0.022
58,-0.066
59,-0.015
60,-0.198
61,-0.1
62,0.027
63,-0.066
64,-0.027
65,-0.007
66,-0.042
67,-0.027
68,0.012
69,0.002
70,-0.037
71,-0.007
72,0.007
73,0.051
74,-0.005
75,-0.007
76,0.024
77,-0.012
78,-0.022
79,-0.037
80,0.039
81,0.076
82,-0.039
83,-0.103
84,0.073
85,0.027
86,0.046
87,-0.022
88,-0.032
89,-0.015
90,-0.022
91,0.0
92,0.01
93,0.146
94,0.049
95,0.017
96,0.037
97,0.007
98,-0.015
99,-0.027
100,0.02
101,-0.085
102,0.007
103,-0.071
104,-0.046
105,0.105
106,0.0
107,-0.063
108,-0.01
109,0.078
110,0.059
111,-0.007
112,0.088
113,0.034
114,0.015
115,0.005
116,-0.039
117,0.015
118,-0.037
119,0.042
120,0.054
121,-0.056
122,0.051
123,0.037
124,0.01
125,-0.12
126,-0.049
127,0.093
128,0.068
129,0.142
130,0.105
131,0.056
132,0.183
133,0.103
134,0.027
135,0.103
136,0.076
137,-0.012
138,0.032
139,0.029
140,-0.034
141,0.044
142,0.0
143,0.032
144,-0.027
145,-0.054
146,0.024
147,-0.051
148,-0.054
149,-0.039
150,-0.098
151,-0.129
152,-0.09
153,-0.029
154,-0.012
155,-0.02
156,-0.022
157,-0.012
158,0.012
159,0.015
160,-0.137
161,-0.095
162,0.103
163,0.051
164,0.005
165,0.024
166,0.066
167,0.107
168,-0.037
169,0.081
170,0.146
171,0.039
172,-0.02
173,0.093
174,0.132
175,0.051
176,0.015
177,-0.015
178,-0.032
179,0.022
180,-0.022
181,0.034
182,0.063
183,-0.039
184,0.034
185,0.093
186,0.02
187,-0.024
188,0.017
189,0.039
190,0.02
191,0.063
192,-0.007
193,0.051
194,0.076
195,0.027
196,0.007
197,-0.129
198,0.017
199,-0.068
200,-0.098
201,-0.051
202,0.005
203,0.034
204,0.046
205,-0.027
206,0.039
207,0.007
208,0.073
209,0.029
210,0.022
211,0.225
212,0.132
213,0.061
214,0.081
215,-0.005
216,0.085
217,0.049
218,0.002
219,-0.002
220,-0.01
221,-0.007
222,-0.01
223,-0.032
224,-0.002
225,0.01
226,-0.024
227,-0.042
228,-0.017
229,0.01
230,-0.071
231,-0.085
232,-0.002
233,-0.037
234,-0.044
235,-0.022
236,-0.027
237,-0.015
238,0.076
239,-0.017
240,-0.066
241,-0.103
242,-0.125
243,0.054
244,-0.081
245,-0.151
246,-0.068
247,-0.005
248,0.09
249,0.037
250,0.007
251,0.002
252,0.066
253,0.122
254,-0.046
255,0.01
256,0.034
257,0.042
258,-0.029
259,-0.01
260,0.073
261,0.015
262,-0.034
263,-0.015
264,-0.105
265,-0.103
266,0.061
267,0.046
268,-0.093
269,0.042
270,0.071
271,0.022
272,-0.015
273,-0.027
274,0.007
275,0.002
276,0.037
277,-0.02
278,-0.034
279,-0.024
280,-0.1
281,-0.134
282,-0.042
283,-0.02
284,-0.059
285,-0.061
286,-0.01
287,-0.039
288,-0.078
289,0.059
290,-0.007
291,0.054
292,0.156
293,0.059
294,0.022
295,0.032
296,0.029
297,0.1
298,-0.012
299,0.005
300,0.071
301,0.02
302,-0.002
303,-0.085
304,-0.039
305,-0.027
306,-0.105
307,-0.137
308,-0.142
309,0.076
310,0.015
311,-0.027
312,0.002
313,0.017
314,0.088
315,0.032
316,-0.061
317,-0.015
318,-0.027
319,-0.017
320,0.032
321,-0.11
322,-0.066
323,0.007
324,-0.132
325,-0.066
326,-0.059
327,-0.022
328,-0.024
329,-0.178
330,-0.015
331,0.093
332,-0.042
333,0.061
334,0.125
335,-0.02
336,0.115
337,0.115
338,0.188
339,0.051
340,-0.056
341,0.024
342,-0.005
343,0.034
344,0.012
345,-0.051
346,0.015
347,-0.095
348,-0.024
349,-0.017
350,-0.066
351,0.034
352,-0.002
353,0.01
354,0.066
355,-0.046
356,0.032
357,-0.024
358,-0.09
359,0.029
360,0.042
361,-0.051
362,0.037
363,-0.017
364,0.005
365,0.002
366,-0.012
367,-0.024
368,-0.029
369,-0.037
370,-0.017
371,0.127
372,0.044
373,0.078
374,0.1
375,0.093
376,0.044
377,0.144
378,0.12
379,0.042
380,0.107
381,0.122
382,0.142
383,0.039
384,0.012
385,-0.015
386,0.066
387,-0.039
388,-0.037
389,-0.012
390,-0.017
391,0.032
392,-0.083
393,-0.037
394,0.044
395,-0.022
396,0.029
397,-0.007
398,-0.02
399,0.0
400,0.042
401,-0.039
402,-0.078
403,-0.01
404,-0.029
405,0.051
406,0.037
407,-0.144
408,-0.022
409,0.024
410,-0.046
411,0.059
412,-0.027
413,-0.071
414,-0.061
415,-0.078
416,-0.054
417,-0.042
418,-0.098
419,-0.115
420,-0.022
421,0.01
422,-0.007
423,-0.132
424,-0.139
425,-0.042
426,-0.122
427,-0.115
428,-0.093
429,-0.002
430,-0.01
431,-0.027
432,-0.09
433,-0.049
434,-0.051
435,0.029
436,0.015
437,-0.046
438,-0.017
439,0.034
440,-0.002
441,-0.032
442,-0.037
443,-0.022
444,-0.002
445,-0.115
446,-0.081
447,0.022
448,0.002
449,0.132
450,0.046
451,-0.056
452,-0.022
453,-0.015
454,0.02
455,0.01
456,0.01
457,0.09
458,-0.01
459,0.098
460,0.142
461,0.039
462,0.049
463,0.029
464,0.034
465,0.007
466,-0.007
467,0.029
468,0.015
469,0.022
470,-0.093
471,-0.027
472,-0.039
473,0.002
474,0.0
475,0.024
476,0.112
477,-0.066
478,0.027
479,0.078
480,0.037
481,0.042
482,0.112
483,0.015
484,-0.059
485,0.002
486,0.054
487,-0.059
488,-0.205
489,0.015
490,-0.11
491,-0.12
492,-0.027
493,0.022
494,-0.022
495,-0.083
496,-0.012
497,-0.039
498,0.049
499,0.017
500,0.054
501,0.037
502,0.059
503,0.066
504,0.073
505,-0.044
506,-0.137
507,-0.073
508,0.061
509,0.012
510,-0.081
511,0.034
512,0.029
513,0.005
514,-0.063
515,-0.032
516,0.022
517,-0.01
518,0.005
519,0.0
520,-0.032
521,-0.02
522,0.027
523,-0.046
524,0.007
525,-0.068
526,-0.049
527,-0.005
528,0.015
529,-0.032
530,-0.076
531,-0.059
532,-0.078
533,-0.063
534,-0.01
535,0.071
536,0.054
537,0.02
538,-0.022
539,0.071
540,0.034
541,0.007
542,0.039
543,-0.044
544,-0.024
545,0.022
546,-0.071
547,0.024
548,0.051
549,0.0
550,0.017
551,0.039
552,0.027
553,0.024
554,-0.046
555,0.015
556,0.007
557,-0.029
558,0.042
559,-0.029
560,0.0
561,0.015
562,0.061
563,0.056
564,0.012
565,0.002
566,-0.063
567,0.002
568,-0.068
569,-0.103
570,-0.059
571,-0.054
572,0.09
573,0.093
574,0.027
575,-0.051
576,0.037
577,0.002
578,0.002
579,0.059
580,0.073
581,0.044
582,-0.024
583,-0.037
584,-0.056
585,-0.078
586,-0.032
587,-0.042
588,0.024
589,-0.012
590,-0.046
591,-0.032
592,-0.02
593,-0.09
594,-0.12
595,-0.012
596,0.0
597,-0.063
598,-0.078
599,-0.015
600,-0.005
601,0.002
602,-0.034
603,-0.044
604,-0.017
605,0.046
606,-0.071
607,-0.1
608,0.024
609,-0.051
610,-0.081
611,-0.083
612,0.015
613,-0.029
614,-0.042
615,-0.129
616,-0.024
617,-0.022
618,0.01
619,0.11
620,0.046
621,-0.012
622,-0.039
623,-0.027
624,-0.01
625,0.005
626,-0.051
627,-0.034
628,0.02
629,-0.022
630,-0.017
631,0.054
632,-0.015
633,0.0
634,-0.037
635,0.063
636,0.139
637,0.034
638,0.12
639,0.088
640,0.046
641,0.044
642,-0.061
643,0.049
644,0.066
645,0.046
646,0.017
647,0.085
648,0.049
649,-0.046
650,0.056
651,-0.046
652,-0.017
653,0.034
654,-0.066
655,0.017
656,0.0
657,0.044
658,0.017
659,-0.029
660,0.002
661,-0.01
662,0.046
663,-0.049
664,-0.015
665,-0.044
666,-0.083
667,-0.066
668,-0.095
669,-0.117
670,0.012
671,-0.056
672,-0.017
673,-0.12
674,-0.037
675,-0.01
676,-0.046
677,-0.115
678,-0.027
679,0.044
680,-0.015
681,-0.056
682,0.073
683,0.01
684,-0.09
685,-0.034
686,-0.068
687,-0.117
688,-0.012
689,0.042
690,0.015
691,-0.039
692,-0.11
693,-0.005
694,0.061
695,0.037
696,0.105
697,0.066
698,-0.017
699,0.037
700,0.059
701,-0.024
702,0.0
703,-0.002
704,0.037
705,0.161
706,0.002
707,-0.022
708,-0.007
709,-0.034
710,-0.107
711,-0.117
712,-0.007
713,-0.015
714,-0.029
715,-0.066
716,-0.034
717,-0.005
718,-0.076
719,-0.037
720,0.063
721,0.105
722,0.029
723,0.063
724,0.024
725,0.044
726,0.007
727,0.01
728,0.21
729,0.032
730,-0.049
731,0.0
732,-0.037
733,0.012
734,-0.103
735,0.007
736,0.044
737,-0.071
738,0.046
739,0.098
740,-0.085
741,0.046
742,0.015
743,-0.024
744,0.024
745,0.017
746,0.054
747,0.068
748,-0.007
749,-0.034
750,0.0
751,-0.078
752,-0.044
753,-0.098
754,-0.007
755,0.073
756,-0.085
757,0.034
758,-0.012
759,-0.095
760,0.059
761,-0.012
762,0.046
763,0.068
764,0.012
765,0.098
766,0.037
767,-0.046
768,-0.078
769,-0.129
770,-0.012
771,0.027
772,0.024
773,-0.088
774,-0.039
775,-0.12
776,-0.066
777,-0.027
778,-0.039
779,0.044
780,0.022
781,-0.002
782,0.061
783,0.095
784,0.054
785,0.122
786,0.039
787,-0.046
788,-0.01
789,-0.066
790,-0.1
791,-0.039
792,-0.02
793,-0.044
794,-0.051
795,-0.098
796,-0.042
797,0.056
798,-0.032
799,0.061
800,0.12
801,0.005
802,0.09
803,0.061
804,0.01
805,0.146
806,0.12
807,0.09
808,0.029
809,-0.037
810,0.085
811,0.103
812,0.007
813,-0.088
814,0.066
815,0.071
816,-0.01
817,0.088
818,0.027
819,0.037
820,0.081
821,0.042
822,0.093
823,0.093
824,0.073
825,0.054
826,0.005
827,0.007
828,-0.022
829,0.015
830,-0.007
831,-0.037
832,-0.029
833,-0.063
834,-0.042
835,-0.088
836,-0.039
837,0.017
838,-0.049
839,-0.015
840,0.01
841,0.015
842,0.022
843,-0.078
844,-0.132
845,0.024
846,0.112
847,0.042
848,0.044
849,0.081
850,0.103
851,0.073
852,0.024
853,0.034
854,0.017
855,0.032
856,0.029
857,0.007
858,0.085
859,0.056
860,0.034
861,0.007
862,-0.085
863,0.115
864,0.093
865,0.056
866,0.1
867,0.063
868,0.061
869,-0.054
870,-0.034
871,-0.071
872,-0.015
873,0.017
874,0.01
875,-0.02
876,0.076
877,0.002
878,0.046
879,0.002
880,0.039
881,0.203
882,0.132
883,0.024
884,-0.032
885,-0.027
886,0.024
887,0.027
888,-0.044
889,-0.032
890,-0.098
891,-0.122
892,-0.068
893,0.034
894,0.012
895,-0.059
896,0.054
897,0.029
898,-0.022
899,0.029
900,0.063
901,0.078
902,0.066
903,0.112
904,0.205
905,-0.01
906,0.044
907,0.11
908,0.022
909,-0.046
910,0.039
911,0.015
912,-0.005
913,-0.005
914,-0.022
915,-0.022
916,-0.034
917,-0.044
918,-0.078
919,0.024
920,-0.01
921,0.01
922,0.022
923,0.027
924,0.063
925,0.093
926,0.034
927,0.01
928,0.02
929,0.015
930,-0.039
931,-0.037
932,0.005
933,-0.071
934,-0.005
935,0.029
936,-0.1
937,0.024
938,-0.027
939,0.02
940,0.005
941,0.049
942,0.081
943,0.088
944,0.017
945,0.051
946,0.056
947,-0.027
948,-0.044
949,0.059
950,-0.037
951,-0.142
952,-0.09
953,-0.039
954,-0.007
955,-0.115
956,-0.01
957,0.063
958,-0.068
959,0.054
960,0.037
961,-0.007
962,0.032
963,0.046
964,-0.046
965,0.024
966,0.227
967,0.049
968,0.059
969,0.085
970,0.039
971,-0.01
972,0.02
973,0.107
974,-0.039
975,0.054
976,0.034
977,0.024
978,0.051
979,0.146
980,0.159
981,0.146
982,0.103
983,-0.002
984,0.063
985,0.151
986,0.129
987,0.034
988,0.1
989,0.081
990,0.044
991,0.037
992,0.046
993,0.032
994,0.034
995,-0.059
996,-0.032
997,-0.039
998,-0.042
999,-0.002
1000,-0.076
1001,-0.017
1002,-0.105
1003,-0.107
1004,-0.022
1005,0.007
1006,-0.027
1007,0.071
1008,-0.139
1009,-0.142
1010,-0.022
1011,-0.083
1012,-0.039
1013,-0.129
1014,-0.044
1015,-0.1
1016,-0.12
1017,-0.034
1018,-0.078
1019,0.01
1020,-0.054
1021,-0.017
1022,-0.112
1023,-0.071
1024,0.144
1025,0.01
1026,-0.125
1027,-0.024
1028,0.066
1029,0.054
1030,-0.051
1031,-0.095
1032,0.066
1033,0.017
1034,-0.076
1035,-0.054
1036,0.005
1037,-0.012
1038,-0.159
1039,-0.159
1040,-0.127
1041,-0.002
1042,0.012
1043,0.017
1044,-0.085
1045,0.005
1046,-0.032
1047,0.01
1048,0.056
1049,0.034
1050,-0.039
1051,0.002
1052,-0.024
1053,-0.029
1054,-0.002
1055,-0.098
1056,-0.068
1057,-0.007
1058,-0.076
1059,-0.105
1060,-0.088
1061,-0.046
1062,-0.01
1063,-0.061
1064,-0.029
1065,0.078
1066,0.01
1067,0.066
1068,0.164
1069,0.186
1070,0.027
1071,-0.063
1072,0.146
1073,-0.022
1074,-0.073
1075,-0.017
1076,0.007
1077,-0.107
1078,-0.088
1079,-0.068
1080,-0.034
1081,0.012
1082,-0.083
1083,-0.085
1084,-0.081
1085,-0.017
1086,0.022
1087,0.02
1088,0.063
1089,0.071
1090,0.005
1091,-0.044
1092,-0.005
1093,0.027
1094,-0.027
1095,-0.051
1096,0.039
1097,0.061
1098,-0.115
1099,0.024
1100,0.024
1101,0.117
1102,0.039
1103,-0.059
1104,-0.007
1105,0.022
1106,0.015
1107,0.073
1108,-0.061
1109,-0.103
1110,-0.103
1111,-0.095
1112,0.005
1113,-0.125
1114,-0.017
1115,0.029
1116,-0.059
1117,-0.039
1118,-0.122
1119,-0.171
1120,-0.107
1121,-0.037
1122,-0.046
1123,-0.098
1124,0.007
1125,-0.005
1126,-0.01
1127,-0.012
1128,-0.015
1129,0.081
1130,0.056
1131,0.059
1132,0.049
1133,-0.071
1134,0.032
1135,0.034
1136,-0.02
1137,-0.042
1138,-0.037
1139,-0.051
1140,-0.061
1141,-0.027
1142,-0.01
1143,-0.066
1144,-0.088
1145,0.056
1146,0.212
1147,0.327
1148,0.217
1149,0.107
1150,0.173
1151,0.022
1152,0.063
1153,0.042
1154,-0.02
1155,0.02
1156,-0.027
1157,-0.017
1158,0.051
1159,-0.078
1160,0.046
1161,-0.061
1162,-0.134
1163,0.002
1164,-0.017
1165,0.083
1166,-0.076
1167,-0.032
1168,0.049
1169,-0.022
1170,0.085
1171,-0.093
1172,0.005
1173,0.01
1174,0.029
1175,-0.032
1176,-0.1
1177,-0.037
1178,-0.09
1179,-0.085
1180,-0.066
1181,-0.046
1182,-0.073
1183,-0.037
1184,-0.059
1185,-0.022
1186,-0.029
1187,0.02
1188,0.046
1189,-0.002
1190,0.088
1191,0.032
1192,0.024
1193,0.005
1194,0.037
1195,0.012
1196,-0.09
1197,-0.051
1198,-0.015
1199,-0.076
1200,-0.12
1201,-0.083
1202,-0.12
1203,-0.027
1204,-0.073
1205,-0.115
1206,-0.054
1207,-0.078
1208,-0.054
1209,-0.002
1210,-0.042
1211,-0.039
1212,0.02
1213,0.002
1214,-0.007
1215,0.02
1216,0.046
1217,0.034
1218,0.02
1219,0.039
1220,0.093
1221,0.078
1222,0.076
1223,0.034
1224,0.083
1225,0.1
1226,-0.005
1227,0.015
1228,0.061
1229,-0.068
1230,0.005
1231,0.005
1232,-0.039
1233,0.007
1234,0.051
1235,-0.037
1236,-0.024
1237,0.066
1238,-0.027
1239,-0.037
1240,-0.046
1241,0.051
1242,0.01
1243,0.049
1244,0.044
1245,0.051
1246,-0.027
1247,-0.022
1248,0.063
1249,0.042
1250,0.046
1251,0.088
1252,-0.015
1253,0.115
1254,0.071
1255,0.059
1256,-0.056
1257,-0.061
1258,-0.063
1259,-0.117
1260,-0.11
1261,-0.059
1262,-0.09
1263,-0.034
1264,-0.1
1265,-0.076
1266,0.054
1267,0.127
1268,-0.024
1269,-0.012
1270,0.002
1271,0.037
1272,0.012
1273,-0.007
1274,0.076
1275,-0.012
1276,-0.117
1277,-0.085
1278,-0.173
1279,-0.11
1280,-0.059
1281,-0.139
1282,-0.149
1283,-0.203
1284,-0.125
1285,-0.088
1286,-0.071
1287,-0.066
1288,-0.098
1289,0.0
1290,0.027
1291,0.027
1292,0.085
1293,0.034
1294,0.1
1295,0.125
1296,-0.015
1297,0.002
1298,-0.01
1299,0.044
1300,0.022
1301,-0.093
1302,-0.059
1303,-0.134
1304,-0.095
1305,-0.11
1306,-0.105
1307,-0.093
1308,-0.032
1309,-0.046
1310,-0.012
1311,-0.024
1312,-0.007
1313,0.039
1314,0.046
1315,0.017
1316,0.061
1317,0.088
1318,-0.022
1319,0.068
1320,0.122
1321,0.059
1322,-0.027
1323,0.044
1324,0.007
1325,-0.061
1326,0.01
1327,-0.068
1328,-0.01
1329,-0.034
1330,0.012
1331,-0.046
1332,-0.081
1333,0.1
1334,0.068
1335,-0.022
1336,-0.017
1337,0.024
1338,0.156
1339,0.002
1340,-0.002
1341,0.129
1342,0.063
1343,0.042
1344,0.042
1345,0.068
1346,-0.022
1347,-0.134
1348,0.149
1349,0.078
1350,-0.142
1351,-0.11
1352,0.027
1353,0.032
1354,-0.032
1355,0.005
1356,0.117
1357,0.012
1358,-0.085
1359,-0.002
1360,-0.105
1361,-0.063
1362,0.002
1363,0.071
1364,-0.01
1365,-0.09
1366,-0.061
1367,0.056
1368,-0.022
1369,-0.115
1370,-0.002
1371,0.083
1372,0.098
1373,-0.012
1374,-0.061
1375,-0.042
